HGNC ID	Status	Approved symbol	Approved name	Previous symbol
HGNC:5	Approved	A1BG	alpha-1-B glycoprotein	
HGNC:37133	Approved	A1BG-AS1	A1BG antisense RNA 1	NCRNA00181
HGNC:37133	Approved	A1BG-AS1	A1BG antisense RNA 1	A1BGAS
HGNC:37133	Approved	A1BG-AS1	A1BG antisense RNA 1	A1BG-AS
HGNC:24086	Approved	A1CF	APOBEC1 complementation factor	
HGNC:7	Approved	A2M	alpha-2-macroglobulin	
HGNC:27057	Approved	A2M-AS1	A2M antisense RNA 1	
HGNC:23336	Approved	A2ML1	alpha-2-macroglobulin like 1	CPAMD9
HGNC:41022	Approved	A2ML1-AS1	A2ML1 antisense RNA 1	
HGNC:41523	Approved	A2ML1-AS2	A2ML1 antisense RNA 2	
HGNC:8	Approved	A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP
HGNC:30005	Approved	A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P
HGNC:18149	Approved	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	P1
HGNC:17968	Approved	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	
HGNC:1	Entry Withdrawn	A12M1	adenovirus-12 chromosome modification site 1C	
HGNC:2	Entry Withdrawn	A12M2	adenovirus-12 chromosome modification site 1A	
HGNC:3	Entry Withdrawn	A12M3	adenovirus-12 chromosome modification site 1B	
HGNC:4	Entry Withdrawn	A12M4	adenovirus-12 chromosome modification site 17	
HGNC:13666	Approved	AAAS	aladin WD repeat nucleoporin	
HGNC:12	Entry Withdrawn	AABT	amino acid transport, beta	
HGNC:21298	Approved	AACS	acetoacetyl-CoA synthetase	
HGNC:18226	Approved	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL
HGNC:17	Approved	AADAC	arylacetamide deacetylase	
HGNC:24427	Approved	AADACL2	arylacetamide deacetylase like 2	
HGNC:50301	Approved	AADACL2-AS1	AADACL2 antisense RNA 1	
HGNC:32037	Approved	AADACL3	arylacetamide deacetylase like 3	
HGNC:32038	Approved	AADACL4	arylacetamide deacetylase like 4	
HGNC:50305	Approved	AADACP1	arylacetamide deacetylase pseudogene 1	
HGNC:17929	Approved	AADAT	aminoadipate aminotransferase	
HGNC:25662	Approved	AAGAB	alpha and gamma adaptin binding protein	
HGNC:19679	Approved	AAK1	AP2 associated kinase 1	
HGNC:30205	Approved	AAMDC	adipogenesis associated Mth938 domain containing	C11orf67
HGNC:18	Approved	AAMP	angio associated migratory cell protein	
HGNC:19	Approved	AANAT	aralkylamine N-acetyltransferase	
HGNC:15886	Approved	AAR2	AAR2 splicing factor	C20orf4
HGNC:33842	Approved	AARD	alanine and arginine rich domain containing protein	C8orf85
HGNC:20	Approved	AARS1	alanyl-tRNA synthetase 1	AARS
HGNC:49894	Approved	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	AARSP1
HGNC:21022	Approved	AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL
HGNC:28417	Approved	AARSD1	alanyl-tRNA synthetase domain containing 1	
HGNC:54994	Approved	AARSD1P1	AARSD1 pseudogene 1	
HGNC:23993	Approved	AASDH	aminoadipate-semialdehyde dehydrogenase	
HGNC:14235	Approved	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	
HGNC:17366	Approved	AASS	aminoadipate-semialdehyde synthase	
HGNC:51526	Approved	AATBC	apoptosis associated transcript in bladder cancer	
HGNC:19235	Approved	AATF	apoptosis antagonizing transcription factor	
HGNC:21	Approved	AATK	apoptosis associated tyrosine kinase	
HGNC:22	Approved	AAVS1	adeno-associated virus integration site 1	
HGNC:49667	Approved	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	
HGNC:23	Approved	ABAT	4-aminobutyrate aminotransferase	
HGNC:29	Approved	ABCA1	ATP binding cassette subfamily A member 1	ABC1
HGNC:29	Approved	ABCA1	ATP binding cassette subfamily A member 1	HDLDT1
HGNC:32	Approved	ABCA2	ATP binding cassette subfamily A member 2	ABC2
HGNC:33	Approved	ABCA3	ATP binding cassette subfamily A member 3	ABC3
HGNC:55707	Approved	ABCA3P1	ABCA3 pseudogene 1	
HGNC:34	Approved	ABCA4	ATP binding cassette subfamily A member 4	STGD1
HGNC:34	Approved	ABCA4	ATP binding cassette subfamily A member 4	ABCR
HGNC:34	Approved	ABCA4	ATP binding cassette subfamily A member 4	RP19
HGNC:34	Approved	ABCA4	ATP binding cassette subfamily A member 4	STGD
HGNC:35	Approved	ABCA5	ATP binding cassette subfamily A member 5	
HGNC:36	Approved	ABCA6	ATP binding cassette subfamily A member 6	
HGNC:37	Approved	ABCA7	ATP binding cassette subfamily A member 7	
HGNC:38	Approved	ABCA8	ATP binding cassette subfamily A member 8	
HGNC:39	Approved	ABCA9	ATP binding cassette subfamily A member 9	
HGNC:39983	Approved	ABCA9-AS1	ABCA9 antisense RNA 1	
HGNC:30	Approved	ABCA10	ATP binding cassette subfamily A member 10	
HGNC:31	Approved	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ABCA11
HGNC:14637	Approved	ABCA12	ATP binding cassette subfamily A member 12	ICR2B
HGNC:14638	Approved	ABCA13	ATP binding cassette subfamily A member 13	
HGNC:34405	Approved	ABCA15P	ATP binding cassette subfamily A member 15, pseudogene	NCRNA00169
HGNC:34405	Approved	ABCA15P	ATP binding cassette subfamily A member 15, pseudogene	CRYM-AS1
HGNC:32972	Approved	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	
HGNC:40	Approved	ABCB1	ATP binding cassette subfamily B member 1	PGY1
HGNC:40	Approved	ABCB1	ATP binding cassette subfamily B member 1	MDR1
HGNC:40	Approved	ABCB1	ATP binding cassette subfamily B member 1	CLCS
HGNC:45	Approved	ABCB4	ATP binding cassette subfamily B member 4	PGY3
HGNC:45	Approved	ABCB4	ATP binding cassette subfamily B member 4	MDR3
HGNC:46	Approved	ABCB5	ATP binding cassette subfamily B member 5	
HGNC:47	Approved	ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	
HGNC:48	Approved	ABCB7	ATP binding cassette subfamily B member 7	ABC7
HGNC:49	Approved	ABCB8	ATP binding cassette subfamily B member 8	
HGNC:50	Approved	ABCB9	ATP binding cassette subfamily B member 9	
HGNC:41	Approved	ABCB10	ATP binding cassette subfamily B member 10	
HGNC:14114	Approved	ABCB10P1	ABCB10 pseudogene 1	ABCB10P
HGNC:14114	Approved	ABCB10P1	ABCB10 pseudogene 1	ABCB10P2
HGNC:31129	Approved	ABCB10P3	ABCB10 pseudogene 3	
HGNC:31130	Approved	ABCB10P4	ABCB10 pseudogene 4	
HGNC:42	Approved	ABCB11	ATP binding cassette subfamily B member 11	BSEP
HGNC:42	Approved	ABCB11	ATP binding cassette subfamily B member 11	PFIC2
HGNC:51	Approved	ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	MRP
HGNC:51	Approved	ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	MRP1
HGNC:53	Approved	ABCC2	ATP binding cassette subfamily C member 2	CMOAT
