sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"TRP-AGG2-6","Previous symbol","TRP-AGG2-8","tRNA-Pro (anticodon AGG) 2-8","HGNC:34862","16p13.3"
"TRP-AGG2-6","Approved symbol","TRP-AGG2-6","tRNA-Pro (anticodon AGG) 2-6","HGNC:12331","14q11.2"
"TMX2-CTNND1","Approved symbol","TMX2-CTNND1","TMX2-CTNND1 readthrough (NMD candidate)","HGNC:41992","11q12.1"
"TMEM155","Entry withdrawn","TMEM155","","HGNC:26418",""
"SLC66A1LP","Approved symbol","SLC66A1LP","solute carrier family 66 member 1 like, pseudogene","HGNC:25146","3q25.32"
"SLC19A4P","Approved symbol","SLC19A4P","solute carrier family 19 member 4, pseudogene","HGNC:25344","2q36.3"
"SDIM1","Approved symbol","SDIM1","stress responsive DNAJB4 interacting membrane protein 1","HGNC:38749","6q27"
"PRR25","Approved symbol","PRR25","proline rich 25","HGNC:37230","16p13.3"
"PRAMEF3","Entry withdrawn","PRAMEF3","","HGNC:14087",""
"PGBD3","Approved symbol","PGBD3","piggyBac transposable element derived 3","HGNC:19400","10q11"
"PALM2","Approved symbol","PALM2","paralemmin 2","HGNC:15845","9q31.3"
"OCLM","Entry withdrawn","OCLM","","HGNC:8103",""
"MUC8","Approved symbol","MUC8","mucin 8","HGNC:7519","12q24.33"
"MTRNR2L9","Approved symbol","MTRNR2L9","MT-RNR2 like 9 (pseudogene)","HGNC:37166","6q11.1"
"MTRNR2L8","Approved symbol","MTRNR2L8","MT-RNR2 like 8 (pseudogene)","HGNC:37165","11p15.4"
"MTRNR2L5","Approved symbol","MTRNR2L5","MT-RNR2 like 5 (pseudogene)","HGNC:37162","10q21.1"
"MTRNR2L4","Approved symbol","MTRNR2L4","MT-RNR2 like 4 (pseudogene)","HGNC:37161","16p13.3"
"MTRNR2L3","Approved symbol","MTRNR2L3","MT-RNR2 like 3 (pseudogene)","HGNC:37157","20q13.31"
"MTRNR2L2","Approved symbol","MTRNR2L2","MT-RNR2 like 2 (pseudogene)","HGNC:37156","5q14.1"
"MTRNR2L12","Approved symbol","MTRNR2L12","MT-RNR2 like 12 (pseudogene)","HGNC:37169","3q11.2"
"MTRNR2L1","Approved symbol","MTRNR2L1","MT-RNR2 like 1 (pseudogene)","HGNC:37155","17p11.2"
"MTNAP1","Approved symbol","MTNAP1","mitochondrial nucleoid associated protein 1","HGNC:29601","17q25.1"
"LUZP6","Approved symbol","LUZP6","leucine zipper protein 6","HGNC:33955","7q33"
"LINC03124","Approved symbol","LINC03124","long intergenic non-protein coding RNA 3124","HGNC:25077","2q21.2"
"LINC03122","Approved symbol","LINC03122","long intergenic non-protein coding RNA 3122","HGNC:26744","5q12.1"
"LINC02905","Approved symbol","LINC02905","long intergenic non-protein coding RNA 2905","HGNC:32200","8p23.1"
"LINC01599","Approved symbol","LINC01599","long intergenic non-protein coding RNA 1599","HGNC:27285","14q21.3"
"LINC01590","Approved symbol","LINC01590","long intergenic non-protein coding RNA 1590","HGNC:21404","6q15-q16.1"
"LINC00999","Approved symbol","LINC00999","long intergenic non-protein coding RNA 999","HGNC:38537","10p11.1"
"LINC00696","Approved symbol","LINC00696","long intergenic non-protein coding RNA 696","HGNC:34426","3p21.1"
