"hgnc_symbol"	"hgnc_id"	"description"
"AAGAB"	"HGNC:25662"	"alpha and gamma adaptin binding protein [Source:HGNC Symbol;Acc:HGNC:25662]"
"AARS1"	"HGNC:20"	"alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]"
"ABCD1"	"HGNC:61"	"ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]"
"ABR"	"HGNC:81"	"ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]"
"ABRAXAS1"	"HGNC:25829"	"abraxas 1, BRCA1 A complex subunit [Source:HGNC Symbol;Acc:HGNC:25829]"
"ACD"	"HGNC:25070"	"ACD shelterin complex subunit and telomerase recruitment factor [Source:HGNC Symbol;Acc:HGNC:25070]"
"ACSL4"	"HGNC:3571"	"acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]"
"ACTA2"	"HGNC:130"	"actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]"
"ACTB"	"HGNC:132"	"actin beta [Source:HGNC Symbol;Acc:HGNC:132]"
"ACTC1"	"HGNC:143"	"actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]"
"ACVRL1"	"HGNC:175"	"activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]"
"ADNP"	"HGNC:15766"	"activity dependent neuroprotector homeobox [Source:HGNC Symbol;Acc:HGNC:15766]"
"AFF2"	"HGNC:3776"	"ALF transcription elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3776]"
"AGTR2"	"HGNC:338"	"angiotensin II receptor type 2 [Source:HGNC Symbol;Acc:HGNC:338]"
"AHDC1"	"HGNC:25230"	"AT-hook DNA binding motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25230]"
"AKT1"	"HGNC:391"	"AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]"
"AKT2"	"HGNC:392"	"AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]"
"AKT3"	"HGNC:393"	"AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]"
"ALK"	"HGNC:427"	"ALK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:427]"
"ALX4"	"HGNC:450"	"ALX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:450]"
"ANK2"	"HGNC:493"	"ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]"
"ANKH"	"HGNC:15492"	"ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]"
"ANKRD11"	"HGNC:21316"	"ankyrin repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:21316]"
"ANKRD17"	"HGNC:23575"	"ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]"
"ANKRD26"	"HGNC:29186"	"ankyrin repeat domain containing 26 [Source:HGNC Symbol;Acc:HGNC:29186]"
"ANOS1"	"HGNC:6211"	"anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]"
"AP1S2"	"HGNC:560"	"adaptor related protein complex 1 subunit sigma 2 [Source:HGNC Symbol;Acc:HGNC:560]"
"APC"	"HGNC:583"	"APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]"
"APOB"	"HGNC:603"	"apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]"
"APP"	"HGNC:620"	"amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]"
"AR"	"HGNC:644"	"androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]"
"ARCN1"	"HGNC:649"	"archain 1 [Source:HGNC Symbol;Acc:HGNC:649]"
"ARHGAP11B"	"HGNC:15782"	"Rho GTPase activating protein 11B [Source:HGNC Symbol;Acc:HGNC:15782]"
"ARHGAP31"	"HGNC:29216"	"Rho GTPase activating protein 31 [Source:HGNC Symbol;Acc:HGNC:29216]"
"ARHGEF4"	"HGNC:684"	"Rho guanine nucleotide exchange factor 4 [Source:HGNC Symbol;Acc:HGNC:684]"
"ARHGEF6"	"HGNC:685"	"Rac/Cdc42 guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:685]"
"ARHGEF9"	"HGNC:14561"	"Cdc42 guanine nucleotide exchange factor 9 [Source:HGNC Symbol;Acc:HGNC:14561]"
"ARID1A"	"HGNC:11110"	"AT-rich interaction domain 1A [Source:HGNC Symbol;Acc:HGNC:11110]"
"ARID1B"	"HGNC:18040"	"AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040]"
"ARID2"	"HGNC:18037"	"AT-rich interaction domain 2 [Source:HGNC Symbol;Acc:HGNC:18037]"
"ARSD"	"HGNC:717"	"arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]"
"ARX"	"HGNC:18060"	"aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]"
"ASH1L"	"HGNC:19088"	"ASH1 like histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:19088]"
"ASTN2"	"HGNC:17021"	"astrotactin 2 [Source:HGNC Symbol;Acc:HGNC:17021]"
"ASXL1"	"HGNC:18318"	"ASXL transcriptional regulator 1 [Source:HGNC Symbol;Acc:HGNC:18318]"
"ASXL2"	"HGNC:23805"	"ASXL transcriptional regulator 2 [Source:HGNC Symbol;Acc:HGNC:23805]"
"ASXL3"	"HGNC:29357"	"ASXL transcriptional regulator 3 [Source:HGNC Symbol;Acc:HGNC:29357]"
"ATM"	"HGNC:795"	"ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]"
"ATP10A"	"HGNC:13542"	"ATPase phospholipid transporting 10A (putative) [Source:HGNC Symbol;Acc:HGNC:13542]"
"ATP2C2"	"HGNC:29103"	"ATPase secretory pathway Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:29103]"
"ATP6AP2"	"HGNC:18305"	"ATPase H+ transporting accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:18305]"
"ATP6V1E1"	"HGNC:857"	"ATPase H+ transporting V1 subunit E1 [Source:HGNC Symbol;Acc:HGNC:857]"
"ATP7A"	"HGNC:869"	"ATPase copper transporting alpha [Source:HGNC Symbol;Acc:HGNC:869]"
"ATR"	"HGNC:882"	"ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]"
"ATRX"	"HGNC:886"	"ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]"
"AUTS2"	"HGNC:14262"	"activator of transcription and developmental regulator AUTS2 [Source:HGNC Symbol;Acc:HGNC:14262]"
"AVPR2"	"HGNC:897"	"arginine vasopressin receptor 2 [Source:HGNC Symbol;Acc:HGNC:897]"
"AXIN2"	"HGNC:904"	"axin 2 [Source:HGNC Symbol;Acc:HGNC:904]"
"BAG3"	"HGNC:939"	"BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]"
"BAP1"	"HGNC:950"	"BRCA1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:950]"
"BARD1"	"HGNC:952"	"BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]"
"BCL11A"	"HGNC:13221"	"BCL11 transcription factor A [Source:HGNC Symbol;Acc:HGNC:13221]"
"BCL2L11"	"HGNC:994"	"BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]"
"BCLAF1"	"HGNC:16863"	"BCL2 associated transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16863]"
"BCOR"	"HGNC:20893"	"BCL6 corepressor [Source:HGNC Symbol;Acc:HGNC:20893]"
"BCR"	"HGNC:1014"	"BCR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:1014]"
"BMP4"	"HGNC:1071"	"bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]"
"BMPR1A"	"HGNC:1076"	"bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]"
"BMPR2"	"HGNC:1078"	"bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]"
"BPTF"	"HGNC:3581"	"bromodomain PHD finger transcription factor [Source:HGNC Symbol;Acc:HGNC:3581]"
"BPY2"	"HGNC:13508"	"basic charge Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:13508]"
"BRAF"	"HGNC:1097"	"B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]"
"BRCA1"	"HGNC:1100"	"BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]"
"BRCA2"	"HGNC:1101"	"BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]"
"BRIP1"	"HGNC:20473"	"BRCA1 interacting helicase 1 [Source:HGNC Symbol;Acc:HGNC:20473]"
"BRWD3"	"HGNC:17342"	"bromodomain and WD repeat domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17342]"
"BTK"	"HGNC:1133"	"Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1133]"
"CACNA1A"	"HGNC:1388"	"calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388]"
"CACNA1C"	"HGNC:1390"	"calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]"
"CACNA1S"	"HGNC:1397"	"calcium voltage-gated channel subunit alpha1 S [Source:HGNC Symbol;Acc:HGNC:1397]"
"CADPS2"	"HGNC:16018"	"calcium dependent secretion activator 2 [Source:HGNC Symbol;Acc:HGNC:16018]"
