sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"AP000783.1","Unmatched","","","",""
"AC008443.1","Unmatched","","","",""
"AL353354.2","Unmatched","","","",""
"RP11-162A12.2","Unmatched","","","",""
"AC139100.2","Unmatched","","","",""
"AC018755.1","Unmatched","","","",""
"AC097381.1","Unmatched","","","",""
"RP11-17M16.1","Unmatched","","","",""
"AC024940.1","Unmatched","","","",""
"AP001468.1","Unmatched","","","",""
"AC006946.15","Unmatched","","","",""
"CTC-241N9.1","Unmatched","","","",""
"FLJ00418","Unmatched","","","",""
"RP11-302M6.4","Unmatched","","","",""
"RP11-795F19.5","Unmatched","","","",""
"AC008060.7","Unmatched","","","",""
"AC023590.1","Unmatched","","","",""
"CTD-2616J11.4","Unmatched","","","",""
"RP11-96O20.4","Unmatched","","","",""
"AC005841.1","Unmatched","","","",""
"RP11-429E11.3","Unmatched","","","",""
"RP11-505K9.4","Unmatched","","","",""
"CTD-2616J11.11","Unmatched","","","",""
"AC018470.1","Unmatched","","","",""
"RP11-886H22.1","Unmatched","","","",""
"RP11-1055B8.7","Unmatched","","","",""
"AC093157.1","Unmatched","","","",""
"AC011897.1","Unmatched","","","",""
"RP11-762I7.5","Unmatched","","","",""
"AC064874.1","Unmatched","","","",""
"RP11-65D24.2","Unmatched","","","",""
"RP11-215A19.2","Unmatched","","","",""
"RP11-89K11.1","Unmatched","","","",""
"AC137932.1","Unmatched","","","",""
"AC005358.1","Unmatched","","","",""
"RP11-514O12.4","Unmatched","","","",""
"MLK4","Alias symbol","MAP3K21","mitogen-activated protein kinase kinase kinase 21","HGNC:29798","1q42.2"
"AC009403.2","Unmatched","","","",""
"AC010536.1","Unmatched","","","",""
"AC006372.1","Unmatched","","","",""
"AC026740.1","Unmatched","","","",""
"HUG1","Unmatched","","","",""
"HDGFRP2","Alias symbol","HDGFL2","HDGF like 2","HGNC:14680","19p13.3"
"AC005481.5","Unmatched","","","",""
"AC018816.3","Unmatched","","","",""
"RP1-32I10.10","Unmatched","","","",""
"AC104809.3","Unmatched","","","",""
"RP11-111M22.2","Unmatched","","","",""
"AC087477.1","Unmatched","","","",""
"AC129492.6","Unmatched","","","",""
"RP11-73M18.2","Unmatched","","","",""
"RP11-661C8.3","Unmatched","","","",""
"RP11-211G3.3","Unmatched","","","",""
"RP11-159G9.5","Unmatched","","","",""
"Z98049.1","Unmatched","","","",""
"RP11-830F9.6","Unmatched","","","",""
"AL590483.1","Unmatched","","","",""
"HDGFRP3","Alias symbol","HDGFL3","HDGF like 3","HGNC:24937","15q25.2"
"RP11-438J1.1","Unmatched","","","",""
"DKFZP779J2370","Unmatched","","","",""
"CTA-299D3.8","Unmatched","","","",""
"RP11-343C2.11","Unmatched","","","",""
"RP11-10J21.3","Unmatched","","","",""
"RP11-321M21.3","Unmatched","","","",""
"DKFZP761J1410","Unmatched","","","",""
"RP11-159D12.5","Unmatched","","","",""
"AC016757.3","Unmatched","","","",""
"RP11-520P18.5","Unmatched","","","",""
"AC131097.4","Unmatched","","","",""
"SELO","Alias symbol","SELENOO","selenoprotein O","HGNC:30395","22q13.33"
"NIM1","Alias symbol","NIM1K","NIM1 serine/threonine protein kinase","HGNC:28646","5p12"
"RP11-108K14.8","Unmatched","","","",""
"CTD-3148I10.1","Unmatched","","","",""
"SGK223","Alias symbol","PRAG1","PEAK1 related, kinase-activating pseudokinase 1","HGNC:25438","8p23.1"
"FLJ00104","Unmatched","","","",""
"MLTK","Alias symbol","MAP3K20","mitogen-activated protein kinase kinase kinase 20","HGNC:17797","2q31.1"
"CTD-2054N24.2","Unmatched","","","",""
"RP11-865B13.1","Unmatched","","","",""
"AL078585.1","Unmatched","","","",""
"AC138647.1","Unmatched","","","",""
"RP11-458D21.5","Unmatched","","","",""
"AC093802.1","Unmatched","","","",""
"AC109829.1","Unmatched","","","",""
"RP11-234B24.6","Unmatched","","","",""
"FLJ27365","Unmatched","","","",""
"IFRG15","Alias symbol","TOR1AIP2","torsin 1A interacting protein 2","HGNC:24055","1q25.2"
"RP11-94B19.4","Unmatched","","","",""
"AL354718.1","Unmatched","","","",""
"RP13-672B3.2","Unmatched","","","",""
"RP11-447L10.1","Unmatched","","","",""
"AC007375.1","Unmatched","","","",""
"RP13-512J5.1","Unmatched","","","",""
"RP11-770J1.4","Unmatched","","","",""
"RP11-433C9.2","Unmatched","","","",""
"RP11-508N12.4","Unmatched","","","",""
"AC091801.1","Unmatched","","","",""
"RP11-500M8.7","Unmatched","","","",""
"RP11-712L6.5","Unmatched","","","",""
"AL359878.1","Unmatched","","","",""
"AC006116.20","Unmatched","","","",""
"AC174470.1","Unmatched","","","",""
"RP11-5A19.5","Unmatched","","","",""
"RP11-1105G2.3","Unmatched","","","",""
"DDC8","Alias symbol","CEP295NL","CEP295 N-terminal like","HGNC:44659","17q25.3"
"RP11-512M8.5","Unmatched","","","",""
"RP11-796G6.2","Unmatched","","","",""
"RP11-178C3.1","Unmatched","","","",""
"SELT","Alias symbol","SELENOT","selenoprotein T","HGNC:18136","3q25.1"
"AL033381.1","Unmatched","","","",""
"AL022328.1","Unmatched","","","",""
"LA16c-431H6.6","Unmatched","","","",""
"AL441883.1","Unmatched","","","",""
"RP11-444E17.6","Unmatched","","","",""
"CSNK2B-LY6G5B-1181","Unmatched","","","",""
"RP11-463C8.4","Unmatched","","","",""
"AC078925.1","Unmatched","","","",""
"AC012123.1","Unmatched","","","",""
"CTD-2228K2.5","Unmatched","","","",""
"RP11-574K11.31","Unmatched","","","",""
"CTB-133G6.1","Unmatched","","","",""
"RP11-701P16.2","Unmatched","","","",""
"RP11-637O19.3","Unmatched","","","",""
"AC104534.3","Unmatched","","","",""
"AP001888.1","Unmatched","","","",""
"RP11-676J12.7","Unmatched","","","",""
"AL360004.1","Unmatched","","","",""
"LL22NC03-75H12.2","Unmatched","","","",""
"CTC-487M23.8","Unmatched","","","",""
"RP11-697E2.6","Unmatched","","","",""
"RP11-434D12.1","Unmatched","","","",""
"RP11-279O9.4","Unmatched","","","",""
"AC119673.1","Unmatched","","","",""
"RP11-514P8.6","Unmatched","","","",""
"RP11-178L8.4","Unmatched","","","",""
"AL590708.2","Unmatched","","","",""
"RP11-503N18.3","Unmatched","","","",""
"AC110781.3","Unmatched","","","",""
"AC024580.1","Unmatched","","","",""
"RP4-734P14.4","Unmatched","","","",""
"AC074389.6","Unmatched","","","",""
"AC017104.2","Unmatched","","","",""
"AL603965.1","Unmatched","","","",""
"CTB-78H18.1","Unmatched","","","",""
"CTD-2116N17.1","Unmatched","","","",""
"AC132872.2","Unmatched","","","",""
"RP11-552F3.12","Unmatched","","","",""
