gene	pHaplo	Approved_Symbol	HGNC_ID
CACNA1C	0.99898184581082	CACNA1C	HGNC:1390
ZNF462	1.0	ZNF462	HGNC:21684
CHD8	0.991649600531021	CHD8	HGNC:20153
GRIN2B	0.996808517025246	GRIN2B	HGNC:4586
ARID1A	0.998061218346657	ARID1A	HGNC:11110
CREBBP	0.999309129893693	CREBBP	HGNC:2348
MTOR	0.991993663853304	MTOR	HGNC:3942
NSD1	0.999226973387483	NSD1	HGNC:14234
DYNC1H1	0.975054205137356	DYNC1H1	HGNC:2961
SMARCC2	0.95629240782764	SMARCC2	HGNC:11105
PHOX2B	0.980692356166629	PHOX2B	HGNC:9143
SHH	0.998589550787969	SHH	HGNC:10848
POU3F3	0.845426883959206	POU3F3	HGNC:9216
EN1	0.893200653121775	EN1	HGNC:3342
GRIN1	0.929135372700539	GRIN1	HGNC:4584
PPP1CB	0.989770112559336	PPP1CB	HGNC:9282
YY1	0.968868081515719	YY1	HGNC:12856
COL2A1	0.994179768497895	COL2A1	HGNC:2200
POLR2B	0.9325771869208	POLR2B	HGNC:9188
MAP2K1	0.923844711853197	MAP2K1	HGNC:6840
RBBP4	0.981887902761185	RBBP4	HGNC:9887
SMARCA4	0.991387626515032	SMARCA4	HGNC:11100
TMEM203	0.588914005460103	TMEM203	HGNC:28217
SUPT16H	0.9714180628952	SUPT16H	HGNC:11465
ZNF362	0.860261202504608	ZNF362	HGNC:18079
PAX6	0.970576146703408	PAX6	HGNC:8620
TP63	0.997567314435736	TP63	HGNC:15979
PDE4D	0.974785711656601	PDE4D	HGNC:8783
FBXW11	0.992441541819255	FBXW11	HGNC:13607
KAT5	0.150038577951272	KAT5	HGNC:5275
PRKAR1A	0.981807402244676	PRKAR1A	HGNC:9388
NACC1	0.863621640409412	NACC1	HGNC:20967
SMU1	0.938012888322353	SMU1	HGNC:18247
SCN2A	0.964925380721977	SCN2A	HGNC:10588
CLTC	0.993029781553318	CLTC	HGNC:2092
ATP1A1	0.974844385004221	ATP1A1	HGNC:799
UNC79	0.994483648760671	UNC79	HGNC:19966
CACNA1E	0.990531841694823	CACNA1E	HGNC:1392
UPF1	0.917447256670064	UPF1	HGNC:9962
POLR2A	0.988273735268976	POLR2A	HGNC:9187
TFAP2A	0.99878459806771	TFAP2A	HGNC:11742
UBTF	0.931180593491423	UBTF	HGNC:12511
BRAF	0.995170913745456	BRAF	HGNC:1097
TUBB3	0.719469313002495	TUBB3	HGNC:20772
TUBB4A	0.465284707775407	TUBB4A	HGNC:20774
HECW2	0.988139059227163	HECW2	HGNC:29853
DDX23	0.65892822233363	DDX23	HGNC:17347
KCND3	0.974657352884802	KCND3	HGNC:6239
ERF	0.898701289203303	ERF	HGNC:3444
EZH2	0.993231625013807	EZH2	HGNC:3527
U2AF2	0.955063719098887	U2AF2	HGNC:23156
VCP	0.926572421297359	VCP	HGNC:12666
MED13L	0.999232385641794	MED13L	HGNC:22962
SUPT6H	0.985064459687028	SUPT6H	HGNC:11470
STAT3	0.982935589499151	STAT3	HGNC:11364
SEPHS1	0.990322027269941	SEPHS1	HGNC:19685
CTBP1	0.849255106549569	CTBP1	HGNC:2494
SMAD4	0.995704704953859	SMAD4	HGNC:6770
NFAT5	0.997224070876322	NFAT5	HGNC:7774
KDM2A	0.994198661877178	KDM2A	HGNC:13606
AGO1	0.989216007654735	AGO1	HGNC:3262
CHD4	0.99769613330723	CHD4	HGNC:1919
CCND2	0.99562817367986	CCND2	HGNC:1583
KCNB1	0.985891532084569	KCNB1	HGNC:6231
EFTUD2	0.990991125619225	EFTUD2	HGNC:30858
FGF12	0.941697778568475	FGF12	HGNC:3668
KDM4A	0.985092175634076	KDM4A	HGNC:22978
SOX10	0.952338921283662	SOX10	HGNC:11190
SIX3	0.980395621657112	SIX3	HGNC:10889
DCAF8	0.955338187551862	DCAF8	HGNC:24891
KPNB1	0.993041888348145	KPNB1	HGNC:6400
DHX9	0.994675022201286	DHX9	HGNC:2750
RAN	0.98863580165282	RAN	HGNC:9846
PTPN11	0.970760879783633	PTPN11	HGNC:9644
SNRNP200	0.962311878418683	SNRNP200	HGNC:30859
SF3B1	0.997513431989505	SF3B1	HGNC:10768
DCTN2	0.715331563637658	DCTN2	HGNC:2712
PTK2	0.995611251775134	PTK2	HGNC:9611
MAP2K2	0.475361167601756	MAP2K2	HGNC:6842
PRMT1	0.885860585581116	PRMT1	HGNC:5187
SCN8A	0.990448693331442	SCN8A	HGNC:10596
HRAS	0.31167834604467	HRAS	HGNC:5173
PIK3R1	0.963640953988576	PIK3R1	HGNC:8979
DHX30	0.966732714473159	DHX30	HGNC:16716
SMC3	0.997674464116668	SMC3	HGNC:2468
GSK3A	0.770524076165469	GSK3A	HGNC:4616
SRCAP	0.993052482142657	SRCAP	HGNC:16974
LARP1	0.827126142328746	LARP1	HGNC:29531
PRKAG1	0.253945969693783	PRKAG1	HGNC:9385
KPNA6	0.871517904918207	KPNA6	HGNC:6399
GNB1	0.901120778283764	GNB1	HGNC:4396
PPP2CA	0.888209659385238	PPP2CA	HGNC:9299
TOX4	0.779118340042629	TOX4	HGNC:20161
XPO1	0.997332558670811	XPO1	HGNC:12825
FGFR1	0.994633405246181	FGFR1	HGNC:3688
TUBA1B	0.622454044260608	TUBA1B	HGNC:18809
HCN1	0.797164330348768	HCN1	HGNC:4845
UNCX	0.99728691518398	UNCX	HGNC:33194
SUPT5H	0.973935526782569	SUPT5H	HGNC:11469
KCNA2	0.829071073819844	KCNA2	HGNC:6220
AGO2	0.994464643158288	AGO2	HGNC:3263
DDB1	0.941641924879527	DDB1	HGNC:2717
ETF1	0.949310561471333	ETF1	HGNC:3477
NKX1-1	0.99597146616853	NKX1-1	HGNC:24975
CACNA1A	0.99466532160692	CACNA1A	HGNC:1388
PPP1R8	0.872285830649157	PPP1R8	HGNC:9296
AUP1	0.277959183832231	AUP1	HGNC:891
TGFBR1	0.917525403732705	TGFBR1	HGNC:11772
CBX1	0.684602920074669	CBX1	HGNC:1551
CDC42	0.861416849504481	CDC42	HGNC:1736
MAFB	0.935869362547059	MAFB	HGNC:6408
UBE2Q1	0.610302859791094	UBE2Q1	HGNC:15698
SNRPD3	0.924167702314392	SNRPD3	HGNC:11160
TUBB4B	0.788644960383073	TUBB4B	HGNC:20771
PRKACA	0.5835324067754	PRKACA	HGNC:9380
EIF4A3	0.982054365853167	EIF4A3	HGNC:18683
LRP1	0.982063896660021	LRP1	HGNC:6692
CACNA1B	0.976391900235025	CACNA1B	HGNC:1389
FBXL19	0.85613219697535	FBXL19	HGNC:25300
SOX5	0.991238095436605	SOX5	HGNC:11201
SPOP	0.748885026565681	SPOP	HGNC:11254
MAPK8IP2	0.984736723673335	MAPK8IP2	HGNC:6883
RNF41	0.446182638972049	RNF41	HGNC:18401
MARK2	0.904698617760097	MARK2	HGNC:3332
DDX42	0.988286208604249	DDX42	HGNC:18676
CPEB1	0.971305297610255	CPEB1	HGNC:21744
CUL1	0.996705907501045	CUL1	HGNC:2551
VEZF1	0.99114894375757	VEZF1	HGNC:12949
