Patterns	Score 1	Score 2	Score 3	Score 4	Score 5	Score 6	Score 7	Score 8	Score 9	Score 10	Score 11	Score 12	Score 13	Score 14
Solution 1	2	1	0	-1	0	1	2	3	2	6	1	-1	0	1
Solution 2	2	1	0	-1	0	1	2	3	2	5	1	-1	0	2
Solution 3	2	1	0	-1	0	1	2	3	2	4	1	-1	0	3
Solution 4	2	1	0	-1	0	1	2	4	2	6	1	-1	0	1
Solution 5	2	1	0	-1	0	1	2	5	2	6	1	-1	0	1
Solution 6	2	1	0	-1	0	1	2	4	3	6	1	-1	0	1
Solution 7	2	1	0	-1	0	1	2	4	3	6	2	-2	0	1
Solution 8	2	1	0	-1	0	1	2	5	3	6	1	-1	0	1
Solution 9	2	1	0	-1	0	1	2	5	4	6	1	-1	0	1
Solution 10	2	1	0	-1	0	1	2	5	3	6	2	-2	0	1
Solution 11	2	1	0	-1	0	1	2	5	4	6	2	-2	0	1
Solution 12	2	1	0	-1	0	1	2	5	4	6	3	-3	0	1
Solution 13	2	1	0	-2	0	1	2	4	3	6	2	-2	0	1
Solution 14	2	1	0	-2	-1	0	1	4	3	6	2	-2	0	1
Solution 15	2	1	0	-2	-1	0	2	4	3	6	2	-2	0	1
Solution 16	2	1	0	-2	-1	1	2	4	3	6	2	-2	0	1
Solution 17	2	1	0	-2	0	1	2	5	3	6	2	-2	0	1
Solution 18	2	1	0	-2	-1	1	2	5	3	6	2	-2	0	1
Solution 19	2	1	0	-2	0	1	2	5	4	6	2	-2	0	1
Solution 20	2	1	0	-2	0	1	2	5	4	6	3	-3	0	1
Solution 21	2	1	0	-3	0	1	2	5	4	6	3	-3	0	1
Solution 22	2	1	0	-2	-1	1	2	5	4	6	2	-2	0	1
Solution 23	2	1	0	-2	-1	1	2	5	4	6	3	-3	0	1
Solution 24	2	1	0	-3	-1	1	2	5	4	6	3	-3	0	1
Solution 25	2	1	0	-3	-2	1	2	5	4	6	3	-3	0	1
Solution 26	2	1	0	-2	-1	0	1	5	3	6	2	-2	0	1
Solution 27	2	1	0	-2	-1	0	1	5	4	6	2	-2	0	1
Solution 28	2	1	0	-2	-1	0	1	5	4	6	3	-3	0	1
Solution 29	2	1	0	-3	-1	0	1	5	4	6	3	-3	0	1
Solution 30	2	1	0	-3	-2	0	1	5	4	6	3	-3	0	1
Solution 31	2	1	0	-2	-1	0	2	5	3	6	2	-2	0	1
Solution 32	2	1	0	-2	-1	0	2	5	4	6	2	-2	0	1
Solution 33	2	1	0	-2	-1	0	2	5	4	6	3	-3	0	1
Solution 34	2	1	0	-3	-1	0	2	5	4	6	3	-3	0	1
Solution 35	2	1	0	-3	-2	0	2	5	4	6	3	-3	0	1
Solution 36	2	1	0	-1	0	1	3	4	3	6	1	-1	0	1
Solution 37	2	1	0	-1	0	2	3	4	3	6	1	-1	0	1
Solution 38	2	1	0	-1	0	1	3	4	3	6	2	-2	0	1
Solution 39	2	1	0	-1	0	2	3	4	3	6	2	-2	0	1
Solution 40	2	1	0	-2	0	1	3	4	3	6	2	-2	0	1
Solution 41	2	1	0	-2	-1	1	3	4	3	6	2	-2	0	1
Solution 42	2	1	0	-2	-1	0	3	4	3	6	2	-2	0	1
Solution 43	2	1	0	-2	0	2	3	4	3	6	2	-2	0	1
Solution 44	2	1	0	-2	-1	2	3	4	3	6	2	-2	0	1
Solution 45	2	1	0	-1	0	1	3	5	3	6	1	-1	0	1
Solution 46	2	1	0	-1	0	1	3	5	4	6	1	-1	0	1
Solution 47	2	1	0	-1	0	1	4	5	4	6	1	-1	0	1
Solution 48	2	1	0	-1	0	2	3	5	3	6	1	-1	0	1
Solution 49	2	1	0	-1	0	2	3	5	4	6	1	-1	0	1
Solution 50	2	1	0	-1	0	2	4	5	4	6	1	-1	0	1
Solution 51	2	1	0	-1	0	3	4	5	4	6	1	-1	0	1
Solution 52	2	1	0	-1	0	1	3	5	3	6	2	-2	0	1
Solution 53	2	1	0	-1	0	1	3	5	4	6	2	-2	0	1
Solution 54	2	1	0	-1	0	1	4	5	4	6	2	-2	0	1
Solution 55	2	1	0	-1	0	1	3	5	4	6	3	-3	0	1
Solution 56	2	1	0	-1	0	1	4	5	4	6	3	-3	0	1
Solution 57	2	1	0	-1	0	2	3	5	3	6	2	-2	0	1
Solution 58	2	1	0	-1	0	2	3	5	4	6	2	-2	0	1
Solution 59	2	1	0	-1	0	2	4	5	4	6	2	-2	0	1
Solution 60	2	1	0	-1	0	2	3	5	4	6	3	-3	0	1
Solution 61	2	1	0	-1	0	2	4	5	4	6	3	-3	0	1
Solution 62	2	1	0	-1	0	3	4	5	4	6	2	-2	0	1
Solution 63	2	1	0	-1	0	3	4	5	4	6	3	-3	0	1
Solution 64	2	1	0	-2	0	1	3	5	3	6	2	-2	0	1
Solution 65	2	1	0	-2	-1	1	3	5	3	6	2	-2	0	1
Solution 66	2	1	0	-2	-1	0	3	5	3	6	2	-2	0	1
Solution 67	2	1	0	-2	0	1	3	5	4	6	2	-2	0	1
Solution 68	2	1	0	-2	0	1	4	5	4	6	2	-2	0	1
Solution 69	2	1	0	-2	0	1	3	5	4	6	3	-3	0	1
Solution 70	2	1	0	-3	0	1	3	5	4	6	3	-3	0	1
Solution 71	2	1	0	-2	0	1	4	5	4	6	3	-3	0	1
Solution 72	2	1	0	-3	0	1	4	5	4	6	3	-3	0	1
Solution 73	2	1	0	-2	-1	1	3	5	4	6	2	-2	0	1
Solution 74	2	1	0	-2	-1	1	4	5	4	6	2	-2	0	1
Solution 75	2	1	0	-2	-1	1	3	5	4	6	3	-3	0	1
Solution 76	2	1	0	-3	-1	1	3	5	4	6	3	-3	0	1
