Candidate	Score
Solution 1	0.9953242690 [0.994541860994-0.996106677023]
Solution 2	0.9954359815 [0.994630760652-0.996241202376]
Solution 3	0.9954359815 [0.994630760652-0.996241202376]
Solution 4	0.9954165685 [0.994610963073-0.996222173997]
Solution 5	0.9941454904 [0.993170353722-0.995120627129]
Solution 6	0.9954359815 [0.994630760652-0.996241202376]
Solution 7	0.9954165685 [0.994610963073-0.996222173997]
Solution 8	0.9954165685 [0.994610963073-0.996222173997]
Solution 9	0.9941327434 [0.993157453827-0.995108033053]
Solution 10	0.9931876625 [0.992203790403-0.994171534650]
Solution 11	0.9931765350 [0.992192569648-0.994160500277]
Solution 12	0.9956469483 [0.994867395110-0.996426501434]
Solution 13	0.9956471240 [0.994867441169-0.996426806878]
Solution 14	0.9954776245 [0.994672958375-0.996282290651]
Solution 15	0.9954701049 [0.994665195585-0.996275014157]
Solution 16	0.9954776245 [0.994672958375-0.996282290651]
Solution 17	0.9941874510 [0.993212755321-0.995162146744]
Solution 18	0.9954776245 [0.994672958375-0.996282290651]
Solution 19	0.9954701049 [0.994665195585-0.996275014157]
Solution 20	0.9941799314 [0.993205039924-0.995154822857]
Solution 21	0.9954701049 [0.994665195585-0.996275014157]
Solution 22	0.9931801291 [0.992196066811-0.994164191340]
Solution 23	0.9931800324 [0.992195967754-0.994164097071]
Solution 24	0.9954582253 [0.994653176114-0.996263274572]
Solution 25	0.9954508024 [0.994645512947-0.996256091782]
Solution 26	0.9939699702 [0.993149889817-0.994790050544]
Solution 27	0.9939699702 [0.993149889817-0.994790050544]
Solution 28	0.9927632697 [0.991777300693-0.993749238803]
Solution 29	0.9939699702 [0.993149889817-0.994790050544]
Solution 30	0.9930950241 [0.992110261977-0.994079786126]
Solution 31	0.9954582253 [0.994653176114-0.996263274572]
Solution 32	0.9954508024 [0.994645512947-0.996256091782]
Solution 33	0.9941747179 [0.993199870775-0.995149564936]
Solution 34	0.9954582253 [0.994653176114-0.996263274572]
Solution 35	0.9941672949 [0.993192254331-0.995142335423]
Solution 36	0.9954508024 [0.994645512947-0.996256091782]
Solution 37	0.9931690153 [0.992184859966-0.994153170676]
Solution 38	0.9931690153 [0.992184859966-0.994153170676]
Solution 39	0.9949818228 [0.994194125056-0.995769520450]
Solution 40	0.9949821291 [0.994194443003-0.995769815121]
Solution 41	0.9950309314 [0.994244010001-0.995817852826]
Solution 42	0.9944249022 [0.993624659237-0.995225145255]
Solution 43	0.9944252086 [0.993624976896-0.995225440215]
Solution 44	0.9944808213 [0.993681448815-0.995280193719]
Solution 45	0.9953245753 [0.994542178969-0.996106971667]
Solution 46	0.9953245753 [0.994542178969-0.996106971667]
Solution 47	0.9953863318 [0.994604976961-0.996167686620]
Solution 48	0.9953863318 [0.994604976961-0.996167686620]
Solution 49	0.9953868377 [0.994605363158-0.996168312247]
Solution 50	0.9948170409 [0.994027226842-0.995606854973]
Solution 51	0.9942725209 [0.993470430536-0.995074611277]
Solution 52	0.9937255153 [0.992907529759-0.994543500800]
Solution 53	0.9952861749 [0.994502840112-0.996069509746]
Solution 54	0.9952864812 [0.994503158065-0.996069804411]
Solution 55	0.9953768299 [0.994570611701-0.996183048151]
Solution 56	0.9953771362 [0.994570929169-0.996183343301]
Solution 57	0.9953479038 [0.994565616753-0.996130190813]
Solution 58	0.9955895504 [0.994808995587-0.996370105274]
Solution 59	0.9952861749 [0.994502840112-0.996069509746]
Solution 60	0.9953768299 [0.994570611701-0.996183048151]
Solution 61	0.9953768299 [0.994570611701-0.996183048151]
Solution 62	0.9952861749 [0.994502840112-0.996069509746]
Solution 63	0.9953768299 [0.994570611701-0.996183048151]
Solution 64	0.9953768299 [0.994570611701-0.996183048151]
Solution 65	0.9953768299 [0.994570611701-0.996183048151]
Solution 66	0.9939856497 [0.993027114247-0.994944185155]
Solution 67	0.9940808064 [0.993104872434-0.995056740446]
Solution 68	0.9940808064 [0.993104872434-0.995056740446]
Solution 69	0.9940808064 [0.993104872434-0.995056740446]
Solution 70	0.9951332513 [0.994344997391-0.995921505150]
Solution 71	0.9952399586 [0.994429080079-0.996050837184]
Solution 72	0.9951332513 [0.994344997391-0.995921505150]
Solution 73	0.9952399586 [0.994429080079-0.996050837184]
Solution 74	0.9952399586 [0.994429080079-0.996050837184]
Solution 75	0.9951332513 [0.994344997391-0.995921505150]
Solution 76	0.9952399586 [0.994429080079-0.996050837184]
Solution 77	0.9952399586 [0.994429080079-0.996050837184]
Solution 78	0.9952399586 [0.994429080079-0.996050837184]
Solution 79	0.9956518455 [0.994872331266-0.996431359643]
Solution 80	0.9936442291 [0.992838490204-0.994449967954]
Solution 81	0.9936442291 [0.992838490204-0.994449967954]
Solution 82	0.9949670571 [0.994179096141-0.995755018137]
Solution 83	0.9949670571 [0.994179096141-0.995755018137]
Solution 84	0.9949670571 [0.994179096141-0.995755018137]
Solution 85	0.9936913668 [0.992729472096-0.994653261534]
Solution 86	0.9953479038 [0.994565616753-0.996130190813]
Solution 87	0.9956678489 [0.994888568357-0.996447129363]
Solution 88	0.9956678489 [0.994888568357-0.996447129363]
Solution 89	0.9956678489 [0.994888568357-0.996447129363]
Solution 90	0.9943661612 [0.993410572330-0.995321749996]
Solution 91	0.9933636962 [0.992398634062-0.994328758372]
Solution 92	0.9953479038 [0.994565616753-0.996130190813]
Solution 93	0.9940406259 [0.993082751285-0.994998500599]
Solution 94	0.9956518455 [0.994872331266-0.996431359643]
Solution 95	0.9953868377 [0.994605363158-0.996168312247]
Solution 96	0.9953868377 [0.994605363158-0.996168312247]
Solution 97	0.9956518455 [0.994872331266-0.996431359643]
Solution 98	0.9954362878 [0.994631078145-0.996241497501]
Solution 99	0.9954362878 [0.994631078145-0.996241497501]
Solution 100	0.9954362878 [0.994631078145-0.996241497501]
Solution 101	0.9941457967 [0.993170669064-0.995120924406]
Solution 102	0.9931876625 [0.992203790403-0.994171534650]
Solution 103	0.9954362878 [0.994631078145-0.996241497501]
Solution 104	0.9956518455 [0.994872331266-0.996431359643]
Solution 105	0.9956518455 [0.994872331266-0.996431359643]
Solution 106	0.9943569104 [0.993401297668-0.995312523074]
Solution 107	0.9933533570 [0.992388222097-0.994318491948]
Solution 108	0.9952864812 [0.994503158065-0.996069804411]
Solution 109	0.9952864812 [0.994503158065-0.996069804411]
Solution 110	0.9939859560 [0.993027429864-0.994944482156]
Solution 111	0.9956518455 [0.994872331266-0.996431359643]
Solution 112	0.9956469483 [0.994867395110-0.996426501434]
Solution 113	0.9956386365 [0.994858734015-0.996418538973]
Solution 114	0.9951620619 [0.994375270789-0.995948853049]
Solution 115	0.9952784406 [0.994494986034-0.996061895204]
Solution 116	0.9946260018 [0.993833061747-0.995418941910]
Solution 117	0.9937515277 [0.992947296167-0.994555759268]
Solution 118	0.9938300860 [0.993027547885-0.994632624131]
Solution 119	0.9907801330 [0.989917611264-0.991642654753]
Solution 120	0.9952790633 [0.994495635531-0.996062491031]
Solution 121	0.9938342212 [0.993031775873-0.994636666494]
Solution 122	0.9953434071 [0.994561079071-0.996125735054]
Solution 123	0.9950321077 [0.994244907386-0.995819307997]
Solution 124	0.9946899765 [0.993896157437-0.995483795628]
Solution 125	0.9951946675 [0.994407622918-0.995981712160]
Solution 126	0.9945278209 [0.993729345701-0.995326296125]
Solution 127	0.9941405832 [0.993332925645-0.994948240756]
Solution 128	0.9956675551 [0.994888269061-0.996446841148]
Solution 129	0.9953768525 [0.994595068983-0.996158636061]
Solution 130	0.9939963642 [0.993196418774-0.994796309725]
Solution 131	0.9954853463 [0.994680534527-0.996290158011]
Solution 132	0.9944985094 [0.993681695582-0.995315323165]
Solution 133	0.9952716855 [0.994462236691-0.996081134300]
Solution 134	0.9942434391 [0.993422745097-0.995064133100]
Solution 135	0.9912573265 [0.990387057731-0.992127595227]
Solution 136	0.9954853463 [0.994680534527-0.996290158011]
Solution 137	0.9944985094 [0.993681695582-0.995315323165]
Solution 138	0.9952716855 [0.994462236691-0.996081134300]
Solution 139	0.9942434391 [0.993422745097-0.995064133100]
Solution 140	0.9912573265 [0.990387057731-0.992127595227]
Solution 141	0.9954853463 [0.994680534527-0.996290158011]
Solution 142	0.9944985094 [0.993681695582-0.995315323165]
Solution 143	0.9952716855 [0.994462236691-0.996081134300]
Solution 144	0.9942434391 [0.993422745097-0.995064133100]
Solution 145	0.9912573265 [0.990387057731-0.992127595227]
Solution 146	0.9942241153 [0.993249444139-0.995198786362]
Solution 147	0.9931561114 [0.992171908347-0.994140314482]
Solution 148	0.9931698075 [0.992185714580-0.994153900334]
Solution 149	0.9921431353 [0.991137365021-0.993148905557]
Solution 150	0.9940122158 [0.993033850489-0.994990581022]
Solution 151	0.9930338965 [0.992047294743-0.994020498292]
Solution 152	0.9929898520 [0.992003182557-0.993976521450]
Solution 153	0.9919828928 [0.990975042220-0.992990743474]
Solution 154	0.9900040570 [0.988977965678-0.991030148305]
Solution 155	0.9900469604 [0.989021873665-0.991072047090]
Solution 156	0.9954776245 [0.994672958375-0.996282290651]
Solution 157	0.9953959994 [0.994589919462-0.996202079265]
Solution 158	0.9943285253 [0.993509586999-0.995147463584]
Solution 159	0.9953966220 [0.994590568016-0.996202676034]
Solution 160	0.9943326605 [0.993513813588-0.995151507346]
Solution 161	0.9954776245 [0.994672958375-0.996282290651]
Solution 162	0.9954776245 [0.994672958375-0.996282290651]
Solution 163	0.9953959994 [0.994589919462-0.996202079265]
