Candidate	Score
Solution 1	0.9955465938 [0.994818316113-0.996274871466]
Solution 2	0.9955666938 [0.994817871540-0.996315516033]
Solution 3	0.9955666938 [0.994817871540-0.996315516033]
Solution 4	0.9955492354 [0.994800077782-0.996298393062]
Solution 5	0.9941894921 [0.993266105169-0.995112879121]
Solution 6	0.9955666938 [0.994817871540-0.996315516033]
Solution 7	0.9955492354 [0.994800077782-0.996298393062]
Solution 8	0.9955492354 [0.994800077782-0.996298393062]
Solution 9	0.9941779993 [0.993254481241-0.995101517388]
Solution 10	0.9932499403 [0.992318449020-0.994181431566]
Solution 11	0.9932398944 [0.992308323329-0.994171465393]
Solution 12	0.9957836768 [0.995057677965-0.996509675550]
Solution 13	0.9957798607 [0.995053704226-0.996506017228]
Solution 14	0.9956228493 [0.994874828495-0.996370870154]
Solution 15	0.9956162564 [0.994868012377-0.996364500478]
Solution 16	0.9956228493 [0.994874828495-0.996370870154]
Solution 17	0.9942459771 [0.993323214456-0.995168739792]
Solution 18	0.9956228493 [0.994874828495-0.996370870154]
Solution 19	0.9956162564 [0.994868012377-0.996364500478]
Solution 20	0.9942393842 [0.993316445036-0.995162323419]
Solution 21	0.9956162564 [0.994868012377-0.996364500478]
Solution 22	0.9932433352 [0.992311672160-0.994174998229]
Solution 23	0.9932432498 [0.992311584664-0.994174914904]
Solution 24	0.9956054032 [0.994857048580-0.996353757741]
Solution 25	0.9955988957 [0.994850320523-0.996347470826]
Solution 26	0.9937275338 [0.992959472376-0.994495595314]
Solution 27	0.9937275338 [0.992959472376-0.994495595314]
Solution 28	0.9924537982 [0.991516553942-0.993391042420]
Solution 29	0.9937275338 [0.992959472376-0.994495595314]
Solution 30	0.9931321894 [0.992199535369-0.994064843364]
Solution 31	0.9956054032 [0.994857048580-0.996353757741]
Solution 32	0.9955988957 [0.994850320523-0.996347470826]
Solution 33	0.9942344965 [0.993311604429-0.995157388561]
Solution 34	0.9956054032 [0.994857048580-0.996353757741]
Solution 35	0.9942279890 [0.993304922436-0.995151055582]
Solution 36	0.9955988957 [0.994850320523-0.996347470826]
Solution 37	0.9932333015 [0.992301558789-0.994165044140]
Solution 38	0.9932333015 [0.992301558789-0.994165044140]
Solution 39	0.9953077630 [0.994576066074-0.996039459827]
Solution 40	0.9953081819 [0.994576502105-0.996039861635]
Solution 41	0.9953761627 [0.994645575928-0.996106749531]
Solution 42	0.9949144383 [0.994173711814-0.995655164771]
Solution 43	0.9949148572 [0.994174147536-0.995655566887]
Solution 44	0.9949889246 [0.994249380579-0.995728468630]
Solution 45	0.9955470127 [0.994818752190-0.996275273228]
Solution 46	0.9955470127 [0.994818752190-0.996275273228]
Solution 47	0.9956267223 [0.994899797666-0.996353646924]
Solution 48	0.9956267223 [0.994899797666-0.996353646924]
Solution 49	0.9956287467 [0.994901753245-0.996355740221]
Solution 50	0.9951860313 [0.994452850971-0.995919211575]
Solution 51	0.9948065635 [0.994064599217-0.995548527768]
Solution 52	0.9944254200 [0.993672755441-0.995178084629]
Solution 53	0.9955018955 [0.994772724314-0.996231066675]
Solution 54	0.9955023144 [0.994773160358-0.996231468469]
Solution 55	0.9955092032 [0.994759457264-0.996258949132]
Solution 56	0.9955096221 [0.994759892688-0.996259351547]
Solution 57	0.9955817342 [0.994853914407-0.996309554021]
Solution 58	0.9957277592 [0.995000835406-0.996454682895]
