gene	transcript	UniProt_id	mean_am_pathogenicity	mean_am_pathogenicity_bin	exp_lof	mean_phylop	mean_phylop_bin	oe_lof_upper	oe_lof_upper_bin	loeuf_low_powered
HIST4H4	ENST00000539745	P62805	0.885383391	0	1.7989	1.399606586	5	1.895	9	TRUE
PHF5A	ENST00000216252	Q7RTV0	0.85977993	0	6.5756	1.885668516	3	0.455	2	TRUE
HIST1H3J	ENST00000359303	P68431	0.85964472	0	2.93	5.471150875	0	1.004	5	TRUE
H3F3B	ENST00000586607	P84243	0.852564944	0	5.4357	4.231466293	0	0.551	2	TRUE
ACTA2	ENST00000224784	P62736	0.848819394	0	17.293	5.162023067	0	0.364	1	FALSE
ACTG2	ENST00000409624	P63267	0.846631047	0	16.73	3.441555023	0	0.628	3	FALSE
ACTA1	ENST00000366684	P68133	0.845661562	0	14.889	5.074253559	0	1.223	6	FALSE
RPS7	ENST00000406376	P62081	0.843513401	0	9.6881	4.911501408	0	0.309	1	TRUE
UBL5	ENST00000590068	Q9BZL1	0.843342576	0	4.6496	2.851953745	1	1.575	8	TRUE
MAGOHB	ENST00000320756	Q96A72	0.84229089	0	8.4968	0.949844956	6	0.741	3	TRUE
RPL36A	ENST00000553110	P83881	0.840991434	0	4.7195	4.311822891	0	0.634	3	TRUE
MAGOH	ENST00000371470	P61326	0.840892367	0	9.6379	3.993327856	0	0.492	2	TRUE
ACTC1	ENST00000290378	P68032	0.834921294	0	13.125	5.285478115	0	0.48	2	FALSE
RPL15	ENST00000354811	P61313	0.834714565	0	10.986	4.25707674	0	0.272	0	FALSE
RPS3A	ENST00000274065	P61247	0.833028333	0	10.851	5.687311649	0	0.276	0	FALSE
TUBB4B	ENST00000340384	P68371	0.830860201	0	14.228	3.973622799	0	0.442	1	FALSE
SNRPE	ENST00000414487	P62304	0.826188573	0	7.6328	0.949694216	6	0.392	1	TRUE
TCEB1	ENST00000523815	Q15369	0.822411273	0	4.5086	3.350523233	0	0.663	3	TRUE
TUBB2B	ENST00000259818	Q9BVA1	0.821959491	0	13.436	4.173285007	0	0.222	0	FALSE
EEF1A1	ENST00000331523	P68104	0.821339723	0	16.186	4.535403252	0	0.293	1	FALSE
TUBA1A	ENST00000295766	Q71U36	0.820553875	0	14.906	3.710315466	0	0.318	1	FALSE
