gene	enhancer_Gnocchi	Approved_Symbol	HGNC_ID
NOC2L	1.509945373	NOC2L	HGNC:24517
SAMD11	1.579239162	SAMD11	HGNC:28706
RNF223	2.725940954	RNF223	HGNC:40020
HES4	4.830527947	HES4	HGNC:24149
AGRN	5.938154151	AGRN	HGNC:329
ISG15	5.938154151	ISG15	HGNC:4053
C1orf159	4.827013074	C1orf159	HGNC:26062
TNFRSF18	4.0611481760000006	TNFRSF18	HGNC:11914
TTLL10	4.0611481760000006	TTLL10	HGNC:26693
TNFRSF4	6.28650722	TNFRSF4	HGNC:11918
SDF4	6.28650722	SDF4	HGNC:24188
B3GALT6	2.723454324	B3GALT6	HGNC:17978
MXRA8	1.960480666	MXRA8	HGNC:7542
DVL1	-0.6043022742	DVL1	HGNC:3084
AURKAIP1	1.794679079	AURKAIP1	HGNC:24114
CCNL2	-0.9240785645	CCNL2	HGNC:20570
ANKRD65	2.948187968	ANKRD65	HGNC:42950
VWA1	2.948187968	VWA1	HGNC:30910
ATAD3C	3.238947322	ATAD3C	HGNC:32151
ATAD3B	2.948187968	ATAD3B	HGNC:24007
SSU72	5.401828592	SSU72	HGNC:25016
ATAD3A	4.059724289	ATAD3A	HGNC:25567
TMEM240	5.401828592	TMEM240	HGNC:25186
MIB2	2.370747042	MIB2	HGNC:30577
MMP23B	0.6336673617	MMP23B	HGNC:7171
CDK11A	-1.115233436	CDK11A	HGNC:1730
SLC35E2B	-1.115233436	SLC35E2B	HGNC:33941
NADK	4.860594661	NADK	HGNC:29831
GNB1	-2.010406982	GNB1	HGNC:4396
TMEM52	2.033998359	TMEM52	HGNC:27916
GABRD	6.530123346	GABRD	HGNC:4084
PRKCZ	7.293678257000001	PRKCZ	HGNC:9412
SKI	5.007183017	SKI	HGNC:10896
MORN1	1.868554123	MORN1	HGNC:25852
PEX10	1.620285673	PEX10	HGNC:8851
TNFRSF14	3.918845125	TNFRSF14	HGNC:11912
HES5	3.918845125	HES5	HGNC:19764
PANK4	2.775672538	PANK4	HGNC:19366
MMEL1	6.336504737	MMEL1	HGNC:14668
TTC34	1.973572009	TTC34	HGNC:34297
ACTRT2	5.2408260360000005	ACTRT2	HGNC:24026
PRDM16	6.070480357999999	PRDM16	HGNC:14000
ARHGEF16	4.975369768999999	ARHGEF16	HGNC:15515
MEGF6	4.655191535	MEGF6	HGNC:3232
TP73	5.884121621	TP73	HGNC:12003
WRAP73	6.396840499	WRAP73	HGNC:12759
CCDC27	4.423253938	CCDC27	HGNC:26546
DFFB	1.975780346	DFFB	HGNC:2773
C1orf174	1.975780346	C1orf174	HGNC:27915
CEP104	3.339310905	CEP104	HGNC:24866
AJAP1	5.098326908	AJAP1	HGNC:30801
