sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"CACNA1C","Approved symbol","CACNA1C","calcium voltage-gated channel subunit alpha1 C","HGNC:1390","12p13.33"
"ZNF462","Approved symbol","ZNF462","zinc finger protein 462","HGNC:21684","9q31.2"
"CHD8","Approved symbol","CHD8","chromodomain helicase DNA binding protein 8","HGNC:20153","14q11.2"
"GRIN2B","Approved symbol","GRIN2B","glutamate ionotropic receptor NMDA type subunit 2B","HGNC:4586","12p13.1"
"ARID1A","Approved symbol","ARID1A","AT-rich interaction domain 1A","HGNC:11110","1p36.11"
"CREBBP","Approved symbol","CREBBP","CREB binding protein","HGNC:2348","16p13.3"
"MTOR","Approved symbol","MTOR","mechanistic target of rapamycin kinase","HGNC:3942","1p36.22"
"NSD1","Approved symbol","NSD1","nuclear receptor binding SET domain protein 1","HGNC:14234","5q35.3"
"DYNC1H1","Approved symbol","DYNC1H1","dynein cytoplasmic 1 heavy chain 1","HGNC:2961","14q32.31"
"SMARCC2","Approved symbol","SMARCC2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2","HGNC:11105","12q13.2"
"PHOX2B","Approved symbol","PHOX2B","paired like homeobox 2B","HGNC:9143","4p13"
"SHH","Approved symbol","SHH","sonic hedgehog signaling molecule","HGNC:10848","7q36.3"
"POU3F3","Approved symbol","POU3F3","POU class 3 homeobox 3","HGNC:9216","2q12.1"
"EN1","Approved symbol","EN1","engrailed homeobox 1","HGNC:3342","2q14.2"
"GRIN1","Approved symbol","GRIN1","glutamate ionotropic receptor NMDA type subunit 1","HGNC:4584","9q34.3"
"PPP1CB","Approved symbol","PPP1CB","protein phosphatase 1 catalytic subunit beta","HGNC:9282","2p23.2"
"YY1","Approved symbol","YY1","YY1 transcription factor","HGNC:12856","14q32.2"
"COL2A1","Approved symbol","COL2A1","collagen type II alpha 1 chain","HGNC:2200","12q13.11"
"POLR2B","Approved symbol","POLR2B","RNA polymerase II subunit B","HGNC:9188","4q12"
"MAP2K1","Approved symbol","MAP2K1","mitogen-activated protein kinase kinase 1","HGNC:6840","15q22.31"
"RBBP4","Approved symbol","RBBP4","RB binding protein 4, chromatin remodeling factor","HGNC:9887","1p35.1"
"SMARCA4","Approved symbol","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","HGNC:11100","19p13.2"
"TMEM203","Approved symbol","TMEM203","transmembrane protein 203","HGNC:28217","9q34.3"
"SUPT16H","Approved symbol","SUPT16H","SPT16 homolog, facilitates chromatin remodeling subunit","HGNC:11465","14q11.2"
"ZNF362","Approved symbol","ZNF362","zinc finger protein 362","HGNC:18079","1p35.1"
"PAX6","Approved symbol","PAX6","paired box 6","HGNC:8620","11p13"
"TP63","Approved symbol","TP63","tumor protein p63","HGNC:15979","3q28"
"PDE4D","Approved symbol","PDE4D","phosphodiesterase 4D","HGNC:8783","5q11.2-q12.1"
"FBXW11","Approved symbol","FBXW11","F-box and WD repeat domain containing 11","HGNC:13607","5q35.1"
"KAT5","Approved symbol","KAT5","lysine acetyltransferase 5","HGNC:5275","11q13.1"
"PRKAR1A","Approved symbol","PRKAR1A","protein kinase cAMP-dependent type I regulatory subunit alpha","HGNC:9388","17q24.2"
"NACC1","Approved symbol","NACC1","nucleus accumbens associated 1","HGNC:20967","19p13.13"
"SMU1","Approved symbol","SMU1","SMU1 DNA replication regulator and spliceosomal factor","HGNC:18247","9p21.1"
"SCN2A","Approved symbol","SCN2A","sodium voltage-gated channel alpha subunit 2","HGNC:10588","2q24.3"
"CLTC","Approved symbol","CLTC","clathrin heavy chain","HGNC:2092","17q23.1"
"ATP1A1","Approved symbol","ATP1A1","ATPase Na+/K+ transporting subunit alpha 1","HGNC:799","1p13.1"
"UNC79","Approved symbol","UNC79","unc-79 homolog, NALCN channel complex subunit","HGNC:19966","14q32.12"
"CACNA1E","Approved symbol","CACNA1E","calcium voltage-gated channel subunit alpha1 E","HGNC:1392","1q25.3"
"UPF1","Approved symbol","UPF1","UPF1 RNA helicase and ATPase","HGNC:9962","19p13.11"
"POLR2A","Approved symbol","POLR2A","RNA polymerase II subunit A","HGNC:9187","17p13.1"
"TFAP2A","Approved symbol","TFAP2A","transcription factor AP-2 alpha","HGNC:11742","6p24.3"
"UBTF","Approved symbol","UBTF","upstream binding transcription factor","HGNC:12511","17q21.31"
"BRAF","Approved symbol","BRAF","B-Raf proto-oncogene, serine/threonine kinase","HGNC:1097","7q34"
"TUBB3","Approved symbol","TUBB3","tubulin beta 3 class III","HGNC:20772","16q24.3"
"TUBB4A","Approved symbol","TUBB4A","tubulin beta 4A class IVa","HGNC:20774","19p13.3"
"HECW2","Approved symbol","HECW2","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2","HGNC:29853","2q32.3"
"DDX23","Approved symbol","DDX23","DEAD-box helicase 23","HGNC:17347","12q13.12"
