sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"FLJ00418","Unmatched","","","",""
"AKAP2","Approved symbol","AKAP2","A-kinase anchoring protein 2","HGNC:372","9q31.3"
"MLK4","Alias symbol","MAP3K21","mitogen-activated protein kinase kinase kinase 21","HGNC:29798","1q42.2"
"HUG1","Unmatched","","","",""
"HDGFRP2","Alias symbol","HDGFL2","HDGF like 2","HGNC:14680","19p13.3"
"MTNAP1","Approved symbol","MTNAP1","mitochondrial nucleoid associated protein 1","HGNC:29601","17q25.1"
"HDGFRP3","Alias symbol","HDGFL3","HDGF like 3","HGNC:24937","15q25.2"
"DKFZP779J2370","Unmatched","","","",""
"DKFZP761J1410","Unmatched","","","",""
"SELO","Alias symbol","SELENOO","selenoprotein O","HGNC:30395","22q13.33"
"NIM1","Alias symbol","NIM1K","NIM1 serine/threonine protein kinase","HGNC:28646","5p12"
"SGK223","Alias symbol","PRAG1","PEAK1 related, kinase-activating pseudokinase 1","HGNC:25438","8p23.1"
"FLJ00104","Unmatched","","","",""
"MLTK","Alias symbol","MAP3K20","mitogen-activated protein kinase kinase kinase 20","HGNC:17797","2q31.1"
"PALM2","Approved symbol","PALM2","paralemmin 2","HGNC:15845","9q31.3"
"FLJ27365","Unmatched","","","",""
"IFRG15","Alias symbol","TOR1AIP2","torsin 1A interacting protein 2","HGNC:24055","1q25.2"
"FERRY3","Approved symbol","FERRY3","FERRY endosomal RAB5 effector complex subunit 3","HGNC:1184","12p13.32"
"ZHX1-C8ORF76","Approved symbol","ZHX1-C8orf76","ZHX1-C8orf76 readthrough","HGNC:42975","8q24.13"
"C9orf38","Entry withdrawn","C9orf38","","HGNC:23398",""
"DDC8","Alias symbol","CEP295NL","CEP295 N-terminal like","HGNC:44659","17q25.3"
"SELT","Alias symbol","SELENOT","selenoprotein T","HGNC:18136","3q25.1"
"CSNK2B-LY6G5B-1181","Unmatched","","","",""
"CFAP184","Approved symbol","CFAP184","cilia and flagella associated protein 184","HGNC:26900","4p16.1"
"PGBD3","Approved symbol","PGBD3","piggyBac transposable element derived 3","HGNC:19400","10q11"
"MTRNR2L8","Approved symbol","MTRNR2L8","MT-RNR2 like 8 (pseudogene)","HGNC:37165","11p15.4"
"MUC8","Approved symbol","MUC8","mucin 8","HGNC:7519","12q24.33"
"SF3B14","Unmatched","","","",""
