HGNC_Approved_Symbol	HGNC_ID	pLI	LOEUF_gnomAD_v2.1.1	pHaplo	HIscore	Enhancer_Gnocchi	Mean_AlphaMissense_pathogenicity	Genovo_LOEUF_corrected	Curated_by_ClinGenSVI_group	Curated_from_G2P
RARB	HGNC:9865	0.99983	0.12	0.996622431967765	NA	-2.556486574	NA	0.125948492	False	True
LGI4	HGNC:18712	0.0071501	0.684	0.243714731396272	NA	3.322926471	0.426376449	0.693511993	True	True
TP53RK	HGNC:16197	0.00077469	1.651	0.210387229224118	NA	3.384303312	0.471078152	2.174756959	False	True
BHLHE41	HGNC:16617	0.99212	0.206	0.945621175121018	NA	3.483575729	0.409066518	0.517385394	False	False
MSH6	HGNC:7329	3.6705e-05	0.498	0.606599176031675	3.0	1.827314899	0.423952675	0.853019241	True	True
COA8	HGNC:20492	0.00020615	1.25	0.782379493924195	NA	NA	0.366626664	1.905419056	False	True
NUP188	HGNC:17859	0.95428	0.297	0.974406607950094	NA	4.8779590630000005	0.432806611	0.397842863	False	False
ACADSB	HGNC:91	2.6565e-11	1.172	0.934976102369848	30.0	3.104581839	0.32037952	1.129082067	True	False
EPHB4	HGNC:3395	0.013497	0.422	0.560289011165643	NA	1.7342926930000002	0.541986941	0.395911044	True	False
AQR	HGNC:29513	1.0	0.219	0.885070656750147	NA	1.812250773	0.549481491	0.236175289	False	False
GRIA3	HGNC:4573	NA	NA	NA	2.0	NA	0.66826745	NA	False	True
ECE1	HGNC:3146	0.95987	0.321	0.800370261068981	NA	4.591346929	0.504833491	0.342001826	False	False
KDM5A	HGNC:9886	1.0	0.163	0.995082812564053	NA	1.44734386	0.574369655	0.103932922	False	False
ACAT1	HGNC:93	9.8525e-08	1.051	0.635875432507215	NA	2.155538749	0.464897336	1.614183044	False	True
PSEN1	HGNC:9508	0.97322	0.318	0.778398094178352	NA	2.834811562	0.515041723	0.351418865	False	False
COL1A2	HGNC:2198	1.0	0.202	0.944251201166777	0.0	1.836947603	0.460109431	0.169389173	True	True
TOMM40	HGNC:18001	0.99218	0.206	0.657530980420779	NA	NA	0.594304449	0.12581425	False	False
TMC6	HGNC:18021	5.8557e-10	0.753	0.780462276998956	30.0	3.656084131	0.281414231	0.941752459	False	True
EPS15L1	HGNC:24634	0.99964	0.245	0.714483937738931	NA	4.181483355	0.41516769	0.204345965	False	False
CLN8	HGNC:2079	0.0035591	1.174	0.908631898322808	30.0	1.860944128	NA	1.022702367	False	True
ROBO3	HGNC:13433	1.9977e-15	0.71	NA	30.0	3.5203339560000004	0.451048843	0.71952378	False	True
DDHD2	HGNC:29106	1.4321e-10	0.769	0.278204581599096	NA	3.542751713	0.482125289	0.648780634	False	True
HYAL2	HGNC:5321	NA	NA	0.259977778910792	NA	4.70190558	0.390235708	0.669295293	False	True
KERA	HGNC:6309	1.7098e-07	1.492	0.329325921153827	30.0	-0.03837154921	0.422467985	1.169125482	False	True
COL27A1	HGNC:22986	0.5864	0.312	0.974910773780341	NA	5.829740687999999	0.305720266	0.277038744	False	True
DHX37	HGNC:17210	0.99252	0.289	0.941677614975261	NA	NA	0.367607226	0.231458305	False	False
ZNF407	HGNC:19904	1.0	0.092	0.98502179623432	0.0	2.387845359	0.352050309	0.060414637	False	False
CCDC8	HGNC:25367	0.25395	0.83	0.572880157213596	30.0	2.447775502	0.280539689	NA	False	True
XPO7	HGNC:14108	1.0	0.12	0.991858382934576	NA	0.4286809128	0.60313548	0.098805136	False	False
PTPRT	HGNC:9682	1.0	0.18	0.604927350114753	NA	4.105946226	0.573485685	0.095988033	False	False
HELLS	HGNC:4861	0.99979	0.239	0.95413998706548	NA	1.212620702	0.424757426	0.132324043	False	False
PTPRZ1	HGNC:9685	0.98997	0.286	0.875537983222528	NA	2.1351257340000003	0.32435205	0.198923542	False	False
PDGFB	HGNC:8800	0.77006	0.463	0.861130858069961	NA	4.518096218	0.374217238	0.327346329	True	False
DNAJC3	HGNC:9439	0.017493	0.516	0.8440600448335	NA	1.692502355	0.462299685	0.502793419	True	False
SYNJ1	HGNC:11503	NA	NA	0.668686200338752	NA	2.716569289	NA	NA	True	False
U2AF2	HGNC:23156	0.9996	0.133	0.955063719098887	NA	NA	0.657347773	0.112605554	False	False
ADCY1	HGNC:232	0.99747	0.272	0.891810264450416	NA	4.113259327	0.509982496	0.171116884	False	False
BAZ1B	HGNC:961	1.0	0.109	0.986166653925798	NA	2.90978992	0.447085882	0.121453897	False	False
BBIP1	HGNC:28093	NA	NA	0.566343351917399	NA	3.442825985	0.270222697	2.750269976	False	True
ZBTB16	HGNC:12930	0.99907	0.193	0.975737693169227	NA	6.431069029	0.528718897	0.143228599	False	False
EYA3	HGNC:3521	0.99702	0.264	0.964405619775435	NA	3.589627403	0.442897817	0.299710948	False	False
CDC42BPB	HGNC:1738	1.0	0.12	0.99468116429398	1.0	1.6627198769999998	0.460957751	0.108685114	False	False
TCN2	HGNC:11653	1.0478e-06	0.93	0.256587448918113	30.0	2.793532314	0.272332509	1.111708942	False	True
FAM193B	HGNC:25524	0.9933	0.275	0.835948663123462	NA	NA	NA	0.393836247	False	False
MAN2C1	HGNC:6827	NA	NA	0.641839533060404	NA	0.7251893436	0.412614294	1.308867266	False	True
PPA2	HGNC:28883	1.1789e-10	1.275	0.169186855009767	NA	0.09443556677	0.299121053	1.367085524	True	False
CEP85L	HGNC:21638	NA	NA	0.410511105964159	NA	2.9529257560000004	0.296864584	0.558214634	False	True
SLC17A7	HGNC:16704	0.99988	0.116	0.949833619244389	NA	2.753168674	0.642710473	0.170104591	False	False
UBE2K	HGNC:4914	0.98621	0.231	0.872033856249092	NA	0.7284465181	0.683163907	0.080597336	False	False
ERN1	HGNC:3449	0.99027	0.293	0.905687211081266	NA	3.027635821	0.457685874	0.202778489	False	False
EIF3D	HGNC:3278	0.99983	0.187	0.970271738677402	NA	2.409374609	0.64485986	0.125190661	False	False
VCAN	HGNC:2464	1.0	0.199	0.931041191235272	NA	2.109331773	0.247540252	0.126272166	False	False
DNAJC12	HGNC:28908	2.0723e-06	1.341	0.113278494909375	NA	1.090974664	0.301405294	1.366099812	False	True
SCD	HGNC:10571	0.96968	0.312	0.885469691609724	NA	3.236750439	0.496042126	0.103445535	False	False
PNPO	HGNC:30260	NA	NA	0.210815554748318	NA	2.306174776	NA	NA	True	True
BUB1	HGNC:1148	4.8813e-09	0.601	0.527173177422995	NA	4.151737327	0.27837773	0.682728653	False	True
HTT	HGNC:4851	1.0	0.176	0.995585578926116	NA	4.044337359	0.42894072	0.305808455	False	False
LIPA	HGNC:6617	5.532e-07	0.998	0.356779860935653	30.0	2.862705027	0.4211834	1.001139832	True	False
B3GALT6	HGNC:17978	0.022667	1.425	0.159246174584718	30.0	2.723454324	0.517611966	NA	False	True
COQ6	HGNC:20233	4.3324e-15	1.328	0.167384233285696	NA	1.998849079	0.412904864	1.252162654	True	False
COL5A1	HGNC:2209	1.0	0.055	0.998987377053248	3.0	9.393274606	0.506927606	0.020709521	True	True
SP9	HGNC:30690	0.94003	0.335	0.847359779202782	NA	1.96262478	0.523944345	0.223911744	False	False
CLCN2	HGNC:2020	5.546e-12	0.769	0.777528276095266	NA	2.952059885	0.529315002	0.8255915	True	True
PEX16	HGNC:8857	NA	NA	0.115319450196207	30.0	2.358501563	0.404239244	0.706732914	False	True
SLC13A5	HGNC:23089	0.00050598	0.669	0.772241994090531	30.0	3.525951999	0.405383483	0.701220004	True	True
DCX	HGNC:2714	NA	NA	NA	3.0	NA	NA	NA	True	True
HTRA1	HGNC:9476	0.00049201	0.752	0.860724278207504	NA	3.870964613	0.533307806	0.607459992	True	False
CDK1	HGNC:1722	0.99206	0.207	0.852797352862506	NA	0.8840324911	NA	0.0	False	False
NYX	HGNC:8082	NA	NA	NA	3.0	NA	0.335705904	NA	False	True
PRKAR2B	HGNC:9392	0.99713	0.22	0.84283366506655	NA	4.104029318	0.507583394	0.22624346	False	False
MSI1	HGNC:7330	0.99357	0.264	0.982657694878322	NA	2.917403394	0.625107996	0.074671619	False	False
ADAMTS2	HGNC:218	0.9661	0.311	0.974887756170994	30.0	6.612715783	0.445441691	0.274261429	False	True
XKR4	HGNC:29394	0.99912	0.192	0.599072896973362	NA	2.488299951	NA	0.091994413	False	False
RAB35	HGNC:9774	0.97845	0.254	0.806925723452021	NA	0.8896999462999999	0.699766487	0.073109984	False	False
GALT	HGNC:4135	2.0533e-06	0.864	0.395070260340645	30.0	3.650937681	0.476458861	1.020075144	True	True
EFTUD2	HGNC:30858	1.0	0.094	0.990991125619225	3.0	2.295304198	0.654160263	0.015567958	True	True
SLC25A20	HGNC:1421	1.1972e-07	1.167	0.131444884877856	NA	3.526705379	0.563776187	0.946720281	False	True
ESCO2	HGNC:27230	3.1642e-07	0.833	0.238844519006523	30.0	2.767971521	0.289434945	1.074935506	False	True
PAX1	HGNC:8615	NA	NA	0.945204841382674	30.0	1.228794404	0.396051569	NA	False	True
ADAMTS17	HGNC:17109	2.802e-15	0.732	0.962631594676337	30.0	2.678315445	0.429166407	0.594535948	False	True
PDZD7	HGNC:26257	NA	NA	0.330919274489532	NA	3.631645236	NA	NA	False	True
HEATR1	HGNC:25517	1.0	0.137	0.983431610935018	NA	3.553448404	0.309438091	0.124102429	False	False
SEC23B	HGNC:10702	NA	NA	0.61401496404692	30.0	-0.1223328557	0.585274931	NA	False	True
ADAMTSL4	HGNC:19706	2.6008e-28	1.093	0.251968050884685	NA	2.577432398	0.334668838	1.356644369	False	True
GPC3	HGNC:4451	NA	NA	NA	3.0	NA	0.4368089	NA	False	True
CD151	HGNC:1630	1.0841e-05	1.086	0.550937564534051	NA	NA	NA	0.960621515	False	True
PAPOLG	HGNC:14982	0.9979	0.266	0.835932497391943	NA	1.049663194	0.522517662	0.255458421	False	False
PTPRQ	HGNC:9679	NA	NA	0.229532253332842	30.0	0.85666983	NA	NA	True	False
TUBB2B	HGNC:30829	0.9884	0.222	0.980998478292476	NA	5.14704296	0.821959491	0.063960495	False	False
CPSF6	HGNC:13871	0.99982	0.163	0.956714983527569	NA	1.323383815	0.588492932	0.051512154	False	False
FMR1	HGNC:3775	0.64718	0.417	NA	3.0	NA	0.624407623	NA	False	True
DYNC1I2	HGNC:2964	1.0648e-08	0.769	0.406173299489808	NA	2.78796288	0.544475745	0.698408605	False	True
RAN	HGNC:9846	0.97576	0.262	0.98863580165282	NA	6.376776523999999	0.789743911	0.0	False	False
DPYD	HGNC:3012	3.3686e-22	1.005	0.401024297139383	30.0	0.5380317743	0.443429756	1.150085614	True	True
CCT2	HGNC:1615	0.99853	0.226	0.890348873341637	NA	1.823867812	0.582328357	0.207610515	False	False
CRYGC	HGNC:2410	0.0006061	1.311	0.238493146258353	0.0	-0.1587815524	0.446467468	0.964867239	False	True
ARCN1	HGNC:649	0.99997	0.101	0.965259344340618	3.0	4.083990005	0.567068183	0.0	False	True
SPTY2D1	HGNC:26818	0.94476	0.337	0.862915976327372	NA	2.671997439	0.318931214	0.195990088	False	False
SYCP2	HGNC:11490	1.0	0.183	0.940628549066503	NA	3.865445741	0.224324428	0.122985763	False	False
EED	HGNC:3188	0.99929	0.187	0.896851384649946	NA	0.6702276302	NA	0.091971661	False	False
LAMC1	HGNC:6492	1.0	0.198	0.981563473489897	NA	1.99801656	0.43909873	0.150061385	False	False
SBF2	HGNC:2135	6.3771e-10	0.467	0.884461229825371	30.0	2.633793699	0.470615362	0.415274253	False	True
CFC1	HGNC:18292	0.10509	1.247	0.0590600688766333	0.0	NA	0.289064262	0.805792404	False	True
ATF7IP	HGNC:20092	0.99993	0.213	0.982551975604553	NA	2.989887719	0.345109672	0.104082474	False	False
ACER3	HGNC:16066	0.87464	0.388	0.328910748722126	NA	4.441324381	0.585757336	0.301030227	False	True
PRPF4	HGNC:17349	0.9993	0.227	0.957123758107426	NA	NA	0.56522542	0.102479355	False	True
RAX2	HGNC:18286	0.0082874	1.807	0.213728904784541	NA	1.293979619	0.376362137	1.773160712	False	True
POLA1	HGNC:9173	NA	NA	NA	NA	NA	0.41970666	NA	False	True
ARFGEF1	HGNC:15772	1.0	0.143	0.986704383393007	NA	1.585309929	0.590152149	0.123833034	False	True
ZNF319	HGNC:13644	0.99285	0.248	0.606346283873422	NA	1.384347623	0.50810915	0.182131235	False	False
SS18L1	HGNC:15592	0.98229	0.306	0.823364708963663	NA	3.882784594	0.405255425	0.360616002	False	False
NCF2	HGNC:7661	4.0054e-07	0.743	0.303726620811321	30.0	2.940739848	0.369618326	0.694672091	False	True
SMAD4	HGNC:6770	0.99881	0.222	0.995704704953859	3.0	3.748480974	0.670472364	0.112486892	True	True
NPAS3	HGNC:19311	0.99974	0.211	0.979050419844773	NA	3.626219354	0.530169591	0.130984097	False	False
CAMSAP2	HGNC:29188	0.99999	0.203	0.963337263431708	NA	3.2820070360000004	0.378459848	0.103179732	False	False
FLNA	HGNC:3754	1.0	0.082	NA	3.0	NA	0.542958814	NA	True	True
AFF4	HGNC:17869	1.0	0.138	0.98585743238616	NA	0.03718860505	0.401863381	0.117420035	False	False
TMC8	HGNC:20474	1.1401e-14	1.124	0.544861504284657	30.0	2.9801561960000003	0.289369216	1.253320841	False	True
THRAP3	HGNC:22964	0.99998	0.19	0.984783627864247	NA	NA	0.48113425	0.07047446	False	False
IKBKG	HGNC:5961	NA	NA	NA	3.0	NA	NA	NA	True	True
WWTR1	HGNC:24042	NA	NA	0.930802651255057	NA	3.298734889	0.491767976	0.231340595	True	False
UBE2A	HGNC:12472	0.815	0.537	NA	3.0	NA	0.71239632	NA	True	True
DYSF	HGNC:3097	3.6528e-33	0.734	0.327322109209417	NA	2.422429213	0.471987164	0.920826341	True	False
PREX1	HGNC:32594	1.0	0.091	0.944008933044527	NA	3.812141409	0.489692671	0.046320782	False	False
ATP13A1	HGNC:24215	0.98939	0.294	0.870293268483036	NA	3.103445668	0.532145862	0.168984748	False	False
CDYL	HGNC:1811	0.99504	0.236	0.994922752384015	NA	2.962621155	0.519456988	0.072802728	False	False
PHF20L1	HGNC:24280	1.0	0.187	0.982484022116592	NA	0.4575849671	0.408393598	0.105376408	False	False
FBLN1	HGNC:3600	0.91878	0.338	0.981714928733306	NA	7.586555528	0.458735031	0.388994883	False	False
TBCD	HGNC:11581	1.0032e-07	0.493	0.503270956499739	NA	3.6685539	0.330239731	0.579710087	True	True
