gene	transcript	mean_am_pathogenicity_bin	mean_am_pathogenicity	Approved_Symbol	HGNC_ID
HIST4H4	ENST00000539745	0	0.885383391	H4C16	HGNC:20510
PHF5A	ENST00000216252	0	0.85977993	PHF5A	HGNC:18000
HIST1H3J	ENST00000359303	0	0.85964472	H3C12	HGNC:4774
H3F3B	ENST00000586607	0	0.852564944	H3-3B	HGNC:4765
ACTA2	ENST00000224784	0	0.848819394	ACTA2	HGNC:130
ACTG2	ENST00000409624	0	0.846631047	ACTG2	HGNC:145
ACTA1	ENST00000366684	0	0.845661562	ACTA1	HGNC:129
RPS7	ENST00000406376	0	0.843513401	RPS7	HGNC:10440
UBL5	ENST00000590068	0	0.843342576	UBL5	HGNC:13736
MAGOHB	ENST00000320756	0	0.84229089	MAGOHB	HGNC:25504
RPL36A	ENST00000553110	0	0.840991434	RPL36A	HGNC:10359
MAGOH	ENST00000371470	0	0.840892367	MAGOH	HGNC:6815
ACTC1	ENST00000290378	0	0.834921294	ACTC1	HGNC:143
RPL15	ENST00000354811	0	0.834714565	RPL15	HGNC:10306
RPS3A	ENST00000274065	0	0.833028333	RPS3A	HGNC:10421
TUBB4B	ENST00000340384	0	0.830860201	TUBB4B	HGNC:20771
SNRPE	ENST00000414487	0	0.826188573	SNRPE	HGNC:11161
TCEB1	ENST00000523815	0	0.822411273	ELOC	HGNC:11617
TUBB2B	ENST00000259818	0	0.821959491	TUBB2B	HGNC:30829
EEF1A1	ENST00000331523	0	0.821339723	EEF1A1	HGNC:3189
TUBA1A	ENST00000295766	0	0.820553875	TUBA1A	HGNC:20766
TUBB2A	ENST00000333628	0	0.820025636	TUBB2A	HGNC:12412
TUBA1B	ENST00000336023	0	0.815461568	TUBA1B	HGNC:18809
RPS11	ENST00000270625	0	0.814564288	RPS11	HGNC:10384
RPL27	ENST00000589913	0	0.814167058	RPL27	HGNC:10328
RPL23	ENST00000394332	0	0.813076746	RPL23	HGNC:10316
BUD31	ENST00000222969	0	0.810433608	BUD31	HGNC:29629
RPL18A	ENST00000222247	0	0.809995088	RPL18A	HGNC:10311
RPS18	ENST00000439602	0	0.808544236	RPS18	HGNC:10401
TUBB	ENST00000327892	0	0.807505694	TUBB	HGNC:20778
RPS4X	ENST00000316084	0	0.804900902	RPS4X	HGNC:10424
RPL36	ENST00000394580	0	0.803924747	RPL36	HGNC:13631
ARPC4	ENST00000397261	0	0.802427832	ARPC4	HGNC:707
H2AFV	ENST00000308153	0	0.801909135	H2AZ2	HGNC:20664
RPS14	ENST00000312037	0	0.801125909	RPS14	HGNC:10387
RPS2	ENST00000343262	0	0.799935944	RPS2	HGNC:10404
RPL31	ENST00000409733	0	0.797987305	RPL31	HGNC:10334
CALM3	ENST00000596362	0	0.797212058	CALM3	HGNC:1449
UFM1	ENST00000239878	0	0.796561961	UFM1	HGNC:20597
ARF1	ENST00000541182	0	0.795527363	ARF1	HGNC:652
RPS3	ENST00000524851	0	0.794962913	RPS3	HGNC:10420
SNRPD2	ENST00000588301	0	0.794760304	SNRPD2	HGNC:11159
RPS8	ENST00000396651	0	0.794492511	RPS8	HGNC:10441
RPL10	ENST00000344746	0	0.794399876	RPL10	HGNC:10298
RPS15A	ENST00000565420	0	0.794084063	RPS15A	HGNC:10389
RAC1	ENST00000348035	0	0.793652517	RAC1	HGNC:9801
HIST2H2AB	ENST00000331128	0	0.793593803	H2AC21	HGNC:20508
