enstID	enstVersion	genovo_LOEUF_corrected	ensembl_transcript_id	Approved_Symbol	HGNC_ID	entrezgene_id	description	is_canon
ENST00000329516	3	0.039972539	ENST00000329516	RGPD6	HGNC:32419	729540.0	RANBP2 like and GRIP domain containing 6 [Source:HGNC Symbol;Acc:HGNC:32419]	True
ENST00000329753	5	2.218175403	ENST00000329753	MBD3L5	HGNC:37204	284428.0	methyl-CpG binding domain protein 3 like 5 [Source:HGNC Symbol;Acc:HGNC:37204]	True
ENST00000335510	6	1.482133847	ENST00000335510	DEFB105B	HGNC:29930	245908.0	defensin beta 105B [Source:HGNC Symbol;Acc:HGNC:29930]	True
ENST00000432622	1	4.57604236	ENST00000432622	FAM229A	HGNC:44652	100128071.0	family with sequence similarity 229 member A [Source:HGNC Symbol;Acc:HGNC:44652]	True
ENST00000360423	7	0.0	ENST00000360423	SULT1A4	HGNC:30004	445329.0	sulfotransferase family 1A member 4 [Source:HGNC Symbol;Acc:HGNC:30004]	True
ENST00000378821	3	1.645370739	ENST00000378821	TMEM88B	HGNC:37099	643965.0	transmembrane protein 88B [Source:HGNC Symbol;Acc:HGNC:37099]	True
ENST00000533250	1	1.416219621	ENST00000533250	PRR23D1	HGNC:49420	100131608.0	proline rich 23 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:49420]	True
ENST00000525590	2	0.509451068	ENST00000525590	GOLGA8G	HGNC:25328	283768.0	golgin A8 family member G [Source:HGNC Symbol;Acc:HGNC:25328]	True
ENST00000562783	1	1.282566542	ENST00000562783	GOLGA8Q	HGNC:44408	727909.0	golgin A8 family member Q [Source:HGNC Symbol;Acc:HGNC:44408]	True
ENST00000454856	4	0.441883416	ENST00000454856	POTEB2	HGNC:48327	100287399.0	POTE ankyrin domain family member B2 [Source:HGNC Symbol;Acc:HGNC:48327]	True
ENST00000448456	3	2.677857199	ENST00000448456	CGB8	HGNC:16453	94115.0	chorionic gonadotropin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:16453]	True
ENST00000400085	3	0.433575652	ENST00000400085	ZNF705D	HGNC:33202	728957.0	zinc finger protein 705D [Source:HGNC Symbol;Acc:HGNC:33202]	True
ENST00000444469	3	0.0	ENST00000444469	TMEM238	HGNC:40042	388564.0	transmembrane protein 238 [Source:HGNC Symbol;Acc:HGNC:40042]	True
ENST00000340457	8	0.296097283	ENST00000340457	UPK3BL1	HGNC:37278	100134938.0	uroplakin 3B like 1 [Source:HGNC Symbol;Acc:HGNC:37278]	True
ENST00000380750	3	0.597526072	ENST00000380750	SERF1B	HGNC:10756	8293.0	small EDRK-rich factor 1B [Source:HGNC Symbol;Acc:HGNC:10756]	True
ENST00000424340	1	0.539077516	ENST00000424340	NPIPB5	HGNC:37233	100132247.0	nuclear pore complex interacting protein family member B5 [Source:HGNC Symbol;Acc:HGNC:37233]	True
ENST00000429984	3	1.364910561	ENST00000429984	NUTM2E	HGNC:23448	283008.0	NUT family member 2E [Source:HGNC Symbol;Acc:HGNC:23448]	True
ENST00000465829	1	0.5034858	ENST00000465829	RASA4B	HGNC:35202	100271927.0	RAS p21 protein activator 4B [Source:HGNC Symbol;Acc:HGNC:35202]	True
ENST00000331289	4	0.0	ENST00000331289	ASCL2	HGNC:739	430.0	achaete-scute family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:739]	True
ENST00000510439	2	1.24294206	ENST00000510439	GOLGA6L4	HGNC:27256	643707.0	golgin A6 family like 4 [Source:HGNC Symbol;Acc:HGNC:27256]	True
ENST00000356026	5	0.698460428	ENST00000356026	MMP23B	HGNC:7171	8510.0	matrix metallopeptidase 23B [Source:HGNC Symbol;Acc:HGNC:7171]	True
ENST00000400677	3	0.608273223	ENST00000400677	HMX1	HGNC:5017	3166.0	H6 family homeobox 1 [Source:HGNC Symbol;Acc:HGNC:5017]	True
ENST00000301200	2	3.093601431	ENST00000301200	CDC42EP5	HGNC:17408	148170.0	CDC42 effector protein 5 [Source:HGNC Symbol;Acc:HGNC:17408]	True
