Gene	pLI Score	Transcript	Splice acceptor variant identified	Splice donor variant identified
AAAS	0	NM_015665.5		yes
AARS	0	NM_001605.2		yes
AASS	0	NM_005763.3	yes	
ABCA1	0	NM_005502.3	yes	yes
ABCA12	0	NM_173076.2	yes	yes
ABCA2	1	NM_212533.2		yes
ABCA4	0	NM_000350.2	yes	yes
ABCB11	0	NM_003742.2		yes
ABCC6	0	NM_001171.5		yes
ABCC8	0	NM_000352.3	yes	yes
ABCD1	0.99896	NM_000033.3	yes	yes
ABCD4	0	NM_005050.3		yes
ABCG5	0	NM_022436.2	yes	
ABCG8	0	NM_022437.2	yes	
ABHD12	0.00002	NM_001042472.2	yes	
ABHD5	0	NM_016006.4	yes	
ACADM	0	NM_000016.4		yes
ACADS	0	NM_000017.2		yes
ACADSB	0	NM_001609.3		yes
ACADVL	0	NM_000018.2	yes	yes
ACAN	1	NM_013227.3		yes
ACSF3	0	NM_174917.3	yes	
ACTB	0.98564	NM_001101.3		yes
ACVRL1	0.00097	NM_000020.2	yes	yes
ADAR	0.02628	NM_001111.4		yes
ADCY5	0.99928	NM_183357.2		yes
ADGRG1	0	NM_005682.5		yes
ADGRV1	0	NM_032119.3	yes	yes
ADSL	0	NM_000026.2		yes
AEBP1	0	NM_001129.4		yes
AFF2	0.99577	NM_002025.2		yes
AFG3L2	0	NM_006796.2	yes	yes
AGA	0	NM_000027.3	yes	
AGK	0	NM_018238.3	yes	yes
AGL	0	NM_000642.2	yes	
AGPAT2	0	NM_006412.3	yes	
AGRN	0	NM_198576.3		yes
AHI1	0	NM_017651.4		yes
AIMP1	0	NM_004757.3	yes	yes
AIPL1	0.00001	NM_014336.3		yes
AIRE	0	NM_000383.2		yes
ALB	0.64329	NM_000477.5	yes	
ALDH18A1	0.00081	NM_002860.3	yes	
ALDH5A1	0	NM_001080.3	yes	
ALDH7A1	0	NM_001182.4		yes
ALDOA	0.00132	NM_000034.3	yes	
ALG11	0	NM_001004127.2	yes	
ALG14	0.00094	NM_144988.3		yes
ALG8	0	NM_024079.4	yes	yes
ALMS1	0	NM_015120.4	yes	yes
ALOX12B	0.00076	NM_001139.2	yes	
ALOXE3	0	NM_021628.2	yes	yes
ALPK3	0	NM_020778.4		yes
ALPL	0.00036	NM_000478.4		yes
ALS2	0	NM_020919.3	yes	
ALX4	0.35736	NM_021926.3		yes
AMPD1	0	NM_000036.2		yes
AMT	0.00272	NM_000481.3		yes
ANK1	1	NM_000037.3	yes	yes
ANKRD11	1	NM_013275.5	yes	yes
ANKS6	0.00001	NM_173551.3		yes
ANO5	0	NM_213599.2	yes	yes
ANOS1	0.99793	NM_000216.2		yes
AP1S1	0.09996	NM_001283.3	yes	
AP1S2	0.86702	NM_003916.3		yes
AP3B2	0.77198	NM_004644.3	yes	yes
AP4M1	0	NM_004722.3		yes
AP4S1	0	NM_007077.4		yes
APC	1	NM_000038.5	yes	yes
APOC3	0.01002	NM_000040.1		yes
ARFGEF2	0.99993	NM_006420.2		yes
ARG1	0.00036	NM_000045.2	yes	
ARHGAP29	0.99964	NM_004815.3	yes	
ARID1A	1	NM_006015.4	yes	yes
ARID1B	1	NM_020732.3	yes	yes
ARL6IP1	0.02234	NM_015161.1	yes	
ARMC4	0	NM_018076.3	yes	
ARMC9	0	NM_025139.5		yes
ARPC1B	0.011	NM_005720.3	yes	yes
ARSA	0	NM_000487.5	yes	yes
ARSE	0.58982	NM_000047.2		yes
